,index,#,Name,Generation,Rarity,Evolves_from,Has_gender_diff,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Variant,Varieties,sprite_url
862,871,719,Diancie,6,Mythical,,False,Rock,Fairy,600,50,100,150,100,150,50,,"[{'is_default': True, 'pokemon': {'name': 'diancie', 'url': 'https://pokeapi.co/api/v2/pokemon/719/'}}, {'is_default': False, 'pokemon': {'name': 'diancie-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10075/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/diancie.png
863,872,719,Diancie,6,Mythical,,False,Rock,Fairy,700,50,160,110,160,110,110,Mega Diancie,"[{'is_default': True, 'pokemon': {'name': 'diancie', 'url': 'https://pokeapi.co/api/v2/pokemon/719/'}}, {'is_default': False, 'pokemon': {'name': 'diancie-mega', 'url': 'https://pokeapi.co/api/v2/pokemon/10075/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/diancie-mega.png
864,873,720,Hoopa,6,Mythical,,False,Psychic,Ghost,600,80,110,60,150,130,70,Hoopa Confined,"[{'is_default': True, 'pokemon': {'name': 'hoopa', 'url': 'https://pokeapi.co/api/v2/pokemon/720/'}}, {'is_default': False, 'pokemon': {'name': 'hoopa-unbound', 'url': 'https://pokeapi.co/api/v2/pokemon/10086/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/hoopa-confined.png
865,874,720,Hoopa,6,Mythical,,False,Psychic,Dark,680,80,160,60,170,130,80,Hoopa Unbound,"[{'is_default': True, 'pokemon': {'name': 'hoopa', 'url': 'https://pokeapi.co/api/v2/pokemon/720/'}}, {'is_default': False, 'pokemon': {'name': 'hoopa-unbound', 'url': 'https://pokeapi.co/api/v2/pokemon/10086/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/hoopa-unbound.png
866,875,721,Volcanion,6,Mythical,,False,Fire,Water,600,80,110,120,130,90,70,,"[{'is_default': True, 'pokemon': {'name': 'volcanion', 'url': 'https://pokeapi.co/api/v2/pokemon/721/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/volcanion.png
867,876,722,Rowlet,7,Common,,False,Grass,Flying,320,68,55,55,50,50,42,,"[{'is_default': True, 'pokemon': {'name': 'rowlet', 'url': 'https://pokeapi.co/api/v2/pokemon/722/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/rowlet.png
868,877,723,Dartrix,7,Common,Rowlet,False,Grass,Flying,420,78,75,75,70,70,52,,"[{'is_default': True, 'pokemon': {'name': 'dartrix', 'url': 'https://pokeapi.co/api/v2/pokemon/723/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/dartrix.png
869,878,724,Decidueye,7,Common,Dartrix,False,Grass,Ghost,530,78,107,75,100,100,70,,"[{'is_default': True, 'pokemon': {'name': 'decidueye', 'url': 'https://pokeapi.co/api/v2/pokemon/724/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/decidueye.png
870,879,724,Decidueye,7,Common,Dartrix,False,Grass,Fighting,530,88,112,80,95,95,60,Hisuian Decidueye,"[{'is_default': True, 'pokemon': {'name': 'decidueye', 'url': 'https://pokeapi.co/api/v2/pokemon/724/'}}]",https://img.pokemondb.net/s.png
871,880,725,Litten,7,Common,,False,Fire,,320,45,65,40,60,40,70,,"[{'is_default': True, 'pokemon': {'name': 'litten', 'url': 'https://pokeapi.co/api/v2/pokemon/725/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/litten.png
872,881,726,Torracat,7,Common,Litten,False,Fire,,420,65,85,50,80,50,90,,"[{'is_default': True, 'pokemon': {'name': 'torracat', 'url': 'https://pokeapi.co/api/v2/pokemon/726/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/torracat.png
873,882,727,Incineroar,7,Common,Torracat,False,Fire,Dark,530,95,115,90,80,90,60,,"[{'is_default': True, 'pokemon': {'name': 'incineroar', 'url': 'https://pokeapi.co/api/v2/pokemon/727/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/incineroar.png
874,883,728,Popplio,7,Common,,False,Water,,320,50,54,54,66,56,40,,"[{'is_default': True, 'pokemon': {'name': 'popplio', 'url': 'https://pokeapi.co/api/v2/pokemon/728/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/popplio.png
875,884,729,Brionne,7,Common,Popplio,False,Water,,420,60,69,69,91,81,50,,"[{'is_default': True, 'pokemon': {'name': 'brionne', 'url': 'https://pokeapi.co/api/v2/pokemon/729/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/brionne.png
876,885,730,Primarina,7,Common,Brionne,False,Water,Fairy,530,80,74,74,126,116,60,,"[{'is_default': True, 'pokemon': {'name': 'primarina', 'url': 'https://pokeapi.co/api/v2/pokemon/730/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/primarina.png
877,886,731,Pikipek,7,Common,,False,Normal,Flying,265,35,75,30,30,30,65,,"[{'is_default': True, 'pokemon': {'name': 'pikipek', 'url': 'https://pokeapi.co/api/v2/pokemon/731/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/pikipek.png
878,887,732,Trumbeak,7,Common,Pikipek,False,Normal,Flying,355,55,85,50,40,50,75,,"[{'is_default': True, 'pokemon': {'name': 'trumbeak', 'url': 'https://pokeapi.co/api/v2/pokemon/732/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/trumbeak.png
879,888,733,Toucannon,7,Common,Trumbeak,False,Normal,Flying,485,80,120,75,75,75,60,,"[{'is_default': True, 'pokemon': {'name': 'toucannon', 'url': 'https://pokeapi.co/api/v2/pokemon/733/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/toucannon.png
880,889,734,Yungoos,7,Common,,False,Normal,,253,48,70,30,30,30,45,,"[{'is_default': True, 'pokemon': {'name': 'yungoos', 'url': 'https://pokeapi.co/api/v2/pokemon/734/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/yungoos.png
881,890,735,Gumshoos,7,Common,Yungoos,False,Normal,,418,88,110,60,55,60,45,,"[{'is_default': True, 'pokemon': {'name': 'gumshoos', 'url': 'https://pokeapi.co/api/v2/pokemon/735/'}}, {'is_default': False, 'pokemon': {'name': 'gumshoos-totem', 'url': 'https://pokeapi.co/api/v2/pokemon/10121/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/gumshoos.png
882,891,736,Grubbin,7,Common,,False,Bug,,300,47,62,45,55,45,46,,"[{'is_default': True, 'pokemon': {'name': 'grubbin', 'url': 'https://pokeapi.co/api/v2/pokemon/736/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/grubbin.png
883,892,737,Charjabug,7,Common,Grubbin,False,Bug,Electric,400,57,82,95,55,75,36,,"[{'is_default': True, 'pokemon': {'name': 'charjabug', 'url': 'https://pokeapi.co/api/v2/pokemon/737/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/charjabug.png
884,893,738,Vikavolt,7,Common,Charjabug,False,Bug,Electric,500,77,70,90,145,75,43,,"[{'is_default': True, 'pokemon': {'name': 'vikavolt', 'url': 'https://pokeapi.co/api/v2/pokemon/738/'}}, {'is_default': False, 'pokemon': {'name': 'vikavolt-totem', 'url': 'https://pokeapi.co/api/v2/pokemon/10122/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/vikavolt.png
885,894,739,Crabrawler,7,Common,,False,Fighting,,338,47,82,57,42,47,63,,"[{'is_default': True, 'pokemon': {'name': 'crabrawler', 'url': 'https://pokeapi.co/api/v2/pokemon/739/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/crabrawler.png
886,895,740,Crabominable,7,Common,Crabrawler,False,Fighting,Ice,478,97,132,77,62,67,43,,"[{'is_default': True, 'pokemon': {'name': 'crabominable', 'url': 'https://pokeapi.co/api/v2/pokemon/740/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/crabominable.png
887,896,741,Oricorio,7,Common,,False,Fire,Flying,476,75,70,70,98,70,93,Baile Style,"[{'is_default': True, 'pokemon': {'name': 'oricorio-baile', 'url': 'https://pokeapi.co/api/v2/pokemon/741/'}}, {'is_default': False, 'pokemon': {'name': 'oricorio-pom-pom', 'url': 'https://pokeapi.co/api/v2/pokemon/10123/'}}, {'is_default': False, 'pokemon': {'name': 'oricorio-pau', 'url': 'https://pokeapi.co/api/v2/pokemon/10124/'}}, {'is_default': False, 'pokemon': {'name': 'oricorio-sensu', 'url': 'https://pokeapi.co/api/v2/pokemon/10125/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/oricorio-baile.png
888,897,741,Oricorio,7,Common,,False,Electric,Flying,476,75,70,70,98,70,93,Pom-Pom Style,"[{'is_default': True, 'pokemon': {'name': 'oricorio-baile', 'url': 'https://pokeapi.co/api/v2/pokemon/741/'}}, {'is_default': False, 'pokemon': {'name': 'oricorio-pom-pom', 'url': 'https://pokeapi.co/api/v2/pokemon/10123/'}}, {'is_default': False, 'pokemon': {'name': 'oricorio-pau', 'url': 'https://pokeapi.co/api/v2/pokemon/10124/'}}, {'is_default': False, 'pokemon': {'name': 'oricorio-sensu', 'url': 'https://pokeapi.co/api/v2/pokemon/10125/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/oricorio-pom-pom.png
889,898,741,Oricorio,7,Common,,False,Psychic,Flying,476,75,70,70,98,70,93,Pa'u Style,"[{'is_default': True, 'pokemon': {'name': 'oricorio-baile', 'url': 'https://pokeapi.co/api/v2/pokemon/741/'}}, {'is_default': False, 'pokemon': {'name': 'oricorio-pom-pom', 'url': 'https://pokeapi.co/api/v2/pokemon/10123/'}}, {'is_default': False, 'pokemon': {'name': 'oricorio-pau', 'url': 'https://pokeapi.co/api/v2/pokemon/10124/'}}, {'is_default': False, 'pokemon': {'name': 'oricorio-sensu', 'url': 'https://pokeapi.co/api/v2/pokemon/10125/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/oricorio-pau.png
890,899,741,Oricorio,7,Common,,False,Ghost,Flying,476,75,70,70,98,70,93,Sensu Style,"[{'is_default': True, 'pokemon': {'name': 'oricorio-baile', 'url': 'https://pokeapi.co/api/v2/pokemon/741/'}}, {'is_default': False, 'pokemon': {'name': 'oricorio-pom-pom', 'url': 'https://pokeapi.co/api/v2/pokemon/10123/'}}, {'is_default': False, 'pokemon': {'name': 'oricorio-pau', 'url': 'https://pokeapi.co/api/v2/pokemon/10124/'}}, {'is_default': False, 'pokemon': {'name': 'oricorio-sensu', 'url': 'https://pokeapi.co/api/v2/pokemon/10125/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/oricorio-sensu.png
891,900,742,Cutiefly,7,Common,,False,Bug,Fairy,304,40,45,40,55,40,84,,"[{'is_default': True, 'pokemon': {'name': 'cutiefly', 'url': 'https://pokeapi.co/api/v2/pokemon/742/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/cutiefly.png
892,901,743,Ribombee,7,Common,Cutiefly,False,Bug,Fairy,464,60,55,60,95,70,124,,"[{'is_default': True, 'pokemon': {'name': 'ribombee', 'url': 'https://pokeapi.co/api/v2/pokemon/743/'}}, {'is_default': False, 'pokemon': {'name': 'ribombee-totem', 'url': 'https://pokeapi.co/api/v2/pokemon/10150/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/ribombee.png
893,902,744,Rockruff,7,Common,,False,Rock,,280,45,65,40,30,40,60,,"[{'is_default': True, 'pokemon': {'name': 'rockruff', 'url': 'https://pokeapi.co/api/v2/pokemon/744/'}}, {'is_default': False, 'pokemon': {'name': 'rockruff-own-tempo', 'url': 'https://pokeapi.co/api/v2/pokemon/10151/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/rockruff.png
894,903,744,Rockruff,7,Common,,False,Rock,,280,45,65,40,30,40,60,Own Tempo Rockruff,"[{'is_default': True, 'pokemon': {'name': 'rockruff', 'url': 'https://pokeapi.co/api/v2/pokemon/744/'}}, {'is_default': False, 'pokemon': {'name': 'rockruff-own-tempo', 'url': 'https://pokeapi.co/api/v2/pokemon/10151/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/rockruff-own-tempo.png
895,904,745,Lycanroc,7,Common,Rockruff,False,Rock,,487,75,115,65,55,65,112,Midday Form,"[{'is_default': True, 'pokemon': {'name': 'lycanroc-midday', 'url': 'https://pokeapi.co/api/v2/pokemon/745/'}}, {'is_default': False, 'pokemon': {'name': 'lycanroc-midnight', 'url': 'https://pokeapi.co/api/v2/pokemon/10126/'}}, {'is_default': False, 'pokemon': {'name': 'lycanroc-dusk', 'url': 'https://pokeapi.co/api/v2/pokemon/10152/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/lycanroc-midday.png
896,905,745,Lycanroc,7,Common,Rockruff,False,Rock,,487,85,115,75,55,75,82,Midnight Form,"[{'is_default': True, 'pokemon': {'name': 'lycanroc-midday', 'url': 'https://pokeapi.co/api/v2/pokemon/745/'}}, {'is_default': False, 'pokemon': {'name': 'lycanroc-midnight', 'url': 'https://pokeapi.co/api/v2/pokemon/10126/'}}, {'is_default': False, 'pokemon': {'name': 'lycanroc-dusk', 'url': 'https://pokeapi.co/api/v2/pokemon/10152/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/lycanroc-midnight.png
897,906,745,Lycanroc,7,Common,Rockruff,False,Rock,,487,75,117,65,55,65,110,Dusk Form,"[{'is_default': True, 'pokemon': {'name': 'lycanroc-midday', 'url': 'https://pokeapi.co/api/v2/pokemon/745/'}}, {'is_default': False, 'pokemon': {'name': 'lycanroc-midnight', 'url': 'https://pokeapi.co/api/v2/pokemon/10126/'}}, {'is_default': False, 'pokemon': {'name': 'lycanroc-dusk', 'url': 'https://pokeapi.co/api/v2/pokemon/10152/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/lycanroc-dusk.png
898,907,746,Wishiwashi,7,Common,,False,Water,,175,45,20,20,25,25,40,Solo Form,"[{'is_default': True, 'pokemon': {'name': 'wishiwashi-solo', 'url': 'https://pokeapi.co/api/v2/pokemon/746/'}}, {'is_default': False, 'pokemon': {'name': 'wishiwashi-school', 'url': 'https://pokeapi.co/api/v2/pokemon/10127/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/wishiwashi-solo.png
899,908,746,Wishiwashi,7,Common,,False,Water,,620,45,140,130,140,135,30,School Form,"[{'is_default': True, 'pokemon': {'name': 'wishiwashi-solo', 'url': 'https://pokeapi.co/api/v2/pokemon/746/'}}, {'is_default': False, 'pokemon': {'name': 'wishiwashi-school', 'url': 'https://pokeapi.co/api/v2/pokemon/10127/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/wishiwashi-school.png
900,909,747,Mareanie,7,Common,,False,Poison,Water,305,50,53,62,43,52,45,,"[{'is_default': True, 'pokemon': {'name': 'mareanie', 'url': 'https://pokeapi.co/api/v2/pokemon/747/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/mareanie.png
901,910,748,Toxapex,7,Common,Mareanie,False,Poison,Water,495,50,63,152,53,142,35,,"[{'is_default': True, 'pokemon': {'name': 'toxapex', 'url': 'https://pokeapi.co/api/v2/pokemon/748/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/toxapex.png
902,911,749,Mudbray,7,Common,,False,Ground,,385,70,100,70,45,55,45,,"[{'is_default': True, 'pokemon': {'name': 'mudbray', 'url': 'https://pokeapi.co/api/v2/pokemon/749/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/mudbray.png
903,912,750,Mudsdale,7,Common,Mudbray,False,Ground,,500,100,125,100,55,85,35,,"[{'is_default': True, 'pokemon': {'name': 'mudsdale', 'url': 'https://pokeapi.co/api/v2/pokemon/750/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/mudsdale.png
904,913,751,Dewpider,7,Common,,False,Water,Bug,269,38,40,52,40,72,27,,"[{'is_default': True, 'pokemon': {'name': 'dewpider', 'url': 'https://pokeapi.co/api/v2/pokemon/751/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/dewpider.png
905,914,752,Araquanid,7,Common,Dewpider,False,Water,Bug,454,68,70,92,50,132,42,,"[{'is_default': True, 'pokemon': {'name': 'araquanid', 'url': 'https://pokeapi.co/api/v2/pokemon/752/'}}, {'is_default': False, 'pokemon': {'name': 'araquanid-totem', 'url': 'https://pokeapi.co/api/v2/pokemon/10153/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/araquanid.png
906,915,753,Fomantis,7,Common,,False,Grass,,250,40,55,35,50,35,35,,"[{'is_default': True, 'pokemon': {'name': 'fomantis', 'url': 'https://pokeapi.co/api/v2/pokemon/753/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/fomantis.png
907,916,754,Lurantis,7,Common,Fomantis,False,Grass,,480,70,105,90,80,90,45,,"[{'is_default': True, 'pokemon': {'name': 'lurantis', 'url': 'https://pokeapi.co/api/v2/pokemon/754/'}}, {'is_default': False, 'pokemon': {'name': 'lurantis-totem', 'url': 'https://pokeapi.co/api/v2/pokemon/10128/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/lurantis.png
908,917,755,Morelull,7,Common,,False,Grass,Fairy,285,40,35,55,65,75,15,,"[{'is_default': True, 'pokemon': {'name': 'morelull', 'url': 'https://pokeapi.co/api/v2/pokemon/755/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/morelull.png
909,918,756,Shiinotic,7,Common,Morelull,False,Grass,Fairy,405,60,45,80,90,100,30,,"[{'is_default': True, 'pokemon': {'name': 'shiinotic', 'url': 'https://pokeapi.co/api/v2/pokemon/756/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/shiinotic.png
910,919,757,Salandit,7,Common,,False,Poison,Fire,320,48,44,40,71,40,77,,"[{'is_default': True, 'pokemon': {'name': 'salandit', 'url': 'https://pokeapi.co/api/v2/pokemon/757/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/salandit.png
911,920,758,Salazzle,7,Common,Salandit,False,Poison,Fire,480,68,64,60,111,60,117,,"[{'is_default': True, 'pokemon': {'name': 'salazzle', 'url': 'https://pokeapi.co/api/v2/pokemon/758/'}}, {'is_default': False, 'pokemon': {'name': 'salazzle-totem', 'url': 'https://pokeapi.co/api/v2/pokemon/10129/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/salazzle.png
912,921,759,Stufful,7,Common,,False,Normal,Fighting,340,70,75,50,45,50,50,,"[{'is_default': True, 'pokemon': {'name': 'stufful', 'url': 'https://pokeapi.co/api/v2/pokemon/759/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/stufful.png
913,922,760,Bewear,7,Common,Stufful,False,Normal,Fighting,500,120,125,80,55,60,60,,"[{'is_default': True, 'pokemon': {'name': 'bewear', 'url': 'https://pokeapi.co/api/v2/pokemon/760/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/bewear.png
914,923,761,Bounsweet,7,Common,,False,Grass,,210,42,30,38,30,38,32,,"[{'is_default': True, 'pokemon': {'name': 'bounsweet', 'url': 'https://pokeapi.co/api/v2/pokemon/761/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/bounsweet.png
915,924,762,Steenee,7,Common,Bounsweet,False,Grass,,290,52,40,48,40,48,62,,"[{'is_default': True, 'pokemon': {'name': 'steenee', 'url': 'https://pokeapi.co/api/v2/pokemon/762/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/steenee.png
916,925,763,Tsareena,7,Common,Steenee,False,Grass,,510,72,120,98,50,98,72,,"[{'is_default': True, 'pokemon': {'name': 'tsareena', 'url': 'https://pokeapi.co/api/v2/pokemon/763/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/tsareena.png
917,926,764,Comfey,7,Common,,False,Fairy,,485,51,52,90,82,110,100,,"[{'is_default': True, 'pokemon': {'name': 'comfey', 'url': 'https://pokeapi.co/api/v2/pokemon/764/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/comfey.png
918,927,765,Oranguru,7,Common,,False,Normal,Psychic,490,90,60,80,90,110,60,,"[{'is_default': True, 'pokemon': {'name': 'oranguru', 'url': 'https://pokeapi.co/api/v2/pokemon/765/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/oranguru.png
919,928,766,Passimian,7,Common,,False,Fighting,,490,100,120,90,40,60,80,,"[{'is_default': True, 'pokemon': {'name': 'passimian', 'url': 'https://pokeapi.co/api/v2/pokemon/766/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/passimian.png
920,929,767,Wimpod,7,Common,,False,Bug,Water,230,25,35,40,20,30,80,,"[{'is_default': True, 'pokemon': {'name': 'wimpod', 'url': 'https://pokeapi.co/api/v2/pokemon/767/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/wimpod.png
921,930,768,Golisopod,7,Common,Wimpod,False,Bug,Water,530,75,125,140,60,90,40,,"[{'is_default': True, 'pokemon': {'name': 'golisopod', 'url': 'https://pokeapi.co/api/v2/pokemon/768/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/golisopod.png
922,931,769,Sandygast,7,Common,,False,Ghost,Ground,320,55,55,80,70,45,15,,"[{'is_default': True, 'pokemon': {'name': 'sandygast', 'url': 'https://pokeapi.co/api/v2/pokemon/769/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/sandygast.png
923,932,770,Palossand,7,Common,Sandygast,False,Ghost,Ground,480,85,75,110,100,75,35,,"[{'is_default': True, 'pokemon': {'name': 'palossand', 'url': 'https://pokeapi.co/api/v2/pokemon/770/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/palossand.png
924,933,771,Pyukumuku,7,Common,,False,Water,,410,55,60,130,30,130,5,,"[{'is_default': True, 'pokemon': {'name': 'pyukumuku', 'url': 'https://pokeapi.co/api/v2/pokemon/771/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/pyukumuku.png
925,934,772,Type:,7,Common,,False,Normal,,534,95,95,95,95,95,59,Null,"[{'is_default': True, 'pokemon': {'name': 'type-null', 'url': 'https://pokeapi.co/api/v2/pokemon/772/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/type-null.png
926,935,773,Silvally,7,Common,Type-null,False,Normal,,570,95,95,95,95,95,95,,"[{'is_default': True, 'pokemon': {'name': 'silvally', 'url': 'https://pokeapi.co/api/v2/pokemon/773/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/silvally.png
927,936,774,Minior,7,Common,,False,Rock,Flying,440,60,60,100,60,100,60,Meteor Form,"[{'is_default': True, 'pokemon': {'name': 'minior-red-meteor', 'url': 'https://pokeapi.co/api/v2/pokemon/774/'}}, {'is_default': False, 'pokemon': {'name': 'minior-orange-meteor', 'url': 'https://pokeapi.co/api/v2/pokemon/10130/'}}, {'is_default': False, 'pokemon': {'name': 'minior-yellow-meteor', 'url': 'https://pokeapi.co/api/v2/pokemon/10131/'}}, {'is_default': False, 'pokemon': {'name': 'minior-green-meteor', 'url': 'https://pokeapi.co/api/v2/pokemon/10132/'}}, {'is_default': False, 'pokemon': {'name': 'minior-blue-meteor', 'url': 'https://pokeapi.co/api/v2/pokemon/10133/'}}, {'is_default': False, 'pokemon': {'name': 'minior-indigo-meteor', 'url': 'https://pokeapi.co/api/v2/pokemon/10134/'}}, {'is_default': False, 'pokemon': {'name': 'minior-violet-meteor', 'url': 'https://pokeapi.co/api/v2/pokemon/10135/'}}, {'is_default': False, 'pokemon': {'name': 'minior-red', 'url': 'https://pokeapi.co/api/v2/pokemon/10136/'}}, {'is_default': False, 'pokemon': {'name': 'minior-orange', 'url': 'https://pokeapi.co/api/v2/pokemon/10137/'}}, {'is_default': False, 'pokemon': {'name': 'minior-yellow', 'url': 'https://pokeapi.co/api/v2/pokemon/10138/'}}, {'is_default': False, 'pokemon': {'name': 'minior-green', 'url': 'https://pokeapi.co/api/v2/pokemon/10139/'}}, {'is_default': False, 'pokemon': {'name': 'minior-blue', 'url': 'https://pokeapi.co/api/v2/pokemon/10140/'}}, {'is_default': False, 'pokemon': {'name': 'minior-indigo', 'url': 'https://pokeapi.co/api/v2/pokemon/10141/'}}, {'is_default': False, 'pokemon': {'name': 'minior-violet', 'url': 'https://pokeapi.co/api/v2/pokemon/10142/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/minior-meteor.png
928,937,774,Minior,7,Common,,False,Rock,Flying,500,60,100,60,100,60,120,Core Form,"[{'is_default': True, 'pokemon': {'name': 'minior-red-meteor', 'url': 'https://pokeapi.co/api/v2/pokemon/774/'}}, {'is_default': False, 'pokemon': {'name': 'minior-orange-meteor', 'url': 'https://pokeapi.co/api/v2/pokemon/10130/'}}, {'is_default': False, 'pokemon': {'name': 'minior-yellow-meteor', 'url': 'https://pokeapi.co/api/v2/pokemon/10131/'}}, {'is_default': False, 'pokemon': {'name': 'minior-green-meteor', 'url': 'https://pokeapi.co/api/v2/pokemon/10132/'}}, {'is_default': False, 'pokemon': {'name': 'minior-blue-meteor', 'url': 'https://pokeapi.co/api/v2/pokemon/10133/'}}, {'is_default': False, 'pokemon': {'name': 'minior-indigo-meteor', 'url': 'https://pokeapi.co/api/v2/pokemon/10134/'}}, {'is_default': False, 'pokemon': {'name': 'minior-violet-meteor', 'url': 'https://pokeapi.co/api/v2/pokemon/10135/'}}, {'is_default': False, 'pokemon': {'name': 'minior-red', 'url': 'https://pokeapi.co/api/v2/pokemon/10136/'}}, {'is_default': False, 'pokemon': {'name': 'minior-orange', 'url': 'https://pokeapi.co/api/v2/pokemon/10137/'}}, {'is_default': False, 'pokemon': {'name': 'minior-yellow', 'url': 'https://pokeapi.co/api/v2/pokemon/10138/'}}, {'is_default': False, 'pokemon': {'name': 'minior-green', 'url': 'https://pokeapi.co/api/v2/pokemon/10139/'}}, {'is_default': False, 'pokemon': {'name': 'minior-blue', 'url': 'https://pokeapi.co/api/v2/pokemon/10140/'}}, {'is_default': False, 'pokemon': {'name': 'minior-indigo', 'url': 'https://pokeapi.co/api/v2/pokemon/10141/'}}, {'is_default': False, 'pokemon': {'name': 'minior-violet', 'url': 'https://pokeapi.co/api/v2/pokemon/10142/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/minior-core.png
929,938,775,Komala,7,Common,,False,Normal,,480,65,115,65,75,95,65,,"[{'is_default': True, 'pokemon': {'name': 'komala', 'url': 'https://pokeapi.co/api/v2/pokemon/775/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/komala.png
930,939,776,Turtonator,7,Common,,False,Fire,Dragon,485,60,78,135,91,85,36,,"[{'is_default': True, 'pokemon': {'name': 'turtonator', 'url': 'https://pokeapi.co/api/v2/pokemon/776/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/turtonator.png
931,940,777,Togedemaru,7,Common,,False,Electric,Steel,435,65,98,63,40,73,96,,"[{'is_default': True, 'pokemon': {'name': 'togedemaru', 'url': 'https://pokeapi.co/api/v2/pokemon/777/'}}, {'is_default': False, 'pokemon': {'name': 'togedemaru-totem', 'url': 'https://pokeapi.co/api/v2/pokemon/10154/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/togedemaru.png
932,941,778,Mimikyu,7,Common,,False,Ghost,Fairy,476,55,90,80,50,105,96,,"[{'is_default': True, 'pokemon': {'name': 'mimikyu-disguised', 'url': 'https://pokeapi.co/api/v2/pokemon/778/'}}, {'is_default': False, 'pokemon': {'name': 'mimikyu-busted', 'url': 'https://pokeapi.co/api/v2/pokemon/10143/'}}, {'is_default': False, 'pokemon': {'name': 'mimikyu-totem-disguised', 'url': 'https://pokeapi.co/api/v2/pokemon/10144/'}}, {'is_default': False, 'pokemon': {'name': 'mimikyu-totem-busted', 'url': 'https://pokeapi.co/api/v2/pokemon/10145/'}}]",https://img.pokemondb.net/sprites/sword-shield/icon/mimikyu.png
