index;Name;IntroductedIn;Type;Power;Acc;PP;DamageClass;Effect;ProbPercentage;id;Label
768;Whirlwind;1;Normal;;;20.0;Status;In battles, the opponent switches. In the wild, the Pokémon runs.;;Whirlwind;Move
769;Wicked Blow;8;Dark;80.0;100;5.0;Physical;Always results in a critical hit and ignores stat changes.;;Wicked Blow;Move
770;Wide Guard;5;Rock;;;10.0;Status;Protects the user's team from multi-target attacks.;;Wide Guard;Move
771;Wild Charge;5;Electric;90.0;100;15.0;Physical;User receives recoil damage.;;Wild Charge;Move
772;Will O Wisp;3;Fire;;85;15.0;Status;Burns opponent.;;Will O Wisp;Move
773;Wing Attack;1;Flying;60.0;100;35.0;Physical;;;Wing Attack;Move
774;Wish;3;Normal;;;10.0;Status;The user recovers HP in the following turn.;;Wish;Move
775;Withdraw;1;Water;;;40.0;Status;Raises user's Defense.;;Withdraw;Move
776;Wonder Room;5;Psychic;;;10.0;Status;Swaps every Pokémon's Defense and Special Defense for 5 turns.;;Wonder Room;Move
777;Wood Hammer;4;Grass;120.0;100;15.0;Physical;User receives recoil damage.;;Wood Hammer;Move
778;Work Up;5;Normal;;;30.0;Status;Raises user's Attack and Special Attack.;;Work Up;Move
779;Worry Seed;4;Grass;;100;10.0;Status;Changes the opponent's Ability to Insomnia.;;Worry Seed;Move
780;Wrap;1;Normal;15.0;90;20.0;Physical;Traps opponent, damaging them for 4-5 turns.;100.0;Wrap;Move
781;Wring Out;4;Normal;;100;5.0;Special;The higher the opponent's HP, the higher the damage.;;Wring Out;Move
782;X Scissor;4;Bug;80.0;100;15.0;Physical;;;X Scissor;Move
783;Yawn;3;Normal;;;10.0;Status;Puts opponent to sleep in the next turn.;;Yawn;Move
784;Zap Cannon;2;Electric;120.0;50;5.0;Special;Paralyzes opponent.;100.0;Zap Cannon;Move
785;Zen Headbutt;4;Psychic;80.0;90;15.0;Physical;May cause flinching.;20.0;Zen Headbutt;Move
786;Zing Zap;7;Electric;80.0;100;10.0;Physical;May cause flinching.;30.0;Zing Zap;Move
787;Zippy Zap;7;Electric;50.0;100;15.0;Physical;Always results in a critical hit.;100.0;Zippy Zap;Move
788;G-Max Vine Lash;8;Grass;;∞;10.0;;Inflicts damage for four turns on non-Grass-type opponents;;G-Max Vine Lash;Move
789;G-Max Wildfire;8;Fire;;∞;10.0;;Inflicts damage for four turns on non-Fire-type opponents;100.0;G-Max Wildfire;Move
790;G-Max Cannonade;8;Water;;∞;10.0;;Inflicts damage for four turns on non-Water-type opponents;;G-Max Cannonade;Move
791;G-Max Befuddle;8;Bug;;∞;5.0;;Inflicts poison, paralysis, or sleep on all opponents;100.0;G-Max Befuddle;Move
792;G-Max Volt Crash;8;Electric;;∞;10.0;;Paralyzes all opponents;100.0;G-Max Volt Crash;Move
793;G-Max Gold Rush;8;Normal;;∞;5.0;;Scatters coins on the ground that are picked up afterwards and confuses all opponents Value is equal to 100 × the user's level (200 × user's level with an Amulet Coin);100.0;G-Max Gold Rush;Move
794;G-Max Chi Strike;8;Fighting;;∞;5.0;;Pumps up the user and its allies, raising the chance of critical hits by one stage. Stacks with itself and moves like Focus Energy, unlike other critical hit sources;;G-Max Chi Strike;Move
795;G-Max Terror;8;Ghost;;∞;10.0;;Prevents the opponent from escaping or being recalled Same effect as Mean Look;;G-Max Terror;Move
796;G-Max Foam Burst;8;Water;;∞;5.0;;Lowers the Speed of all opponents by two stages;100.0;G-Max Foam Burst;Move
797;G-Max Resonance;8;Ice;;∞;5.0;;Lowers damage from both Physical and Special moves for five turns Same effect as Aurora Veil, though it does not require hail.;;G-Max Resonance;Move
798;G-Max Cuddle;8;Normal;;∞;5.0;;Opponents of the opposite gender of the user become infatuated;100.0;G-Max Cuddle;Move
799;G-Max Replenish;8;Normal;;∞;5.0;;50% chance of restoring user or ally's used Berries Similar effect to Recycle when it works;;G-Max Replenish;Move
800;G-Max Malodor;8;Poison;;∞;5.0;;Poisons all opponents;100.0;G-Max Malodor;Move
801;G-Max Meltdown;8;Steel;;∞;5.0;;Makes opponents incapable of using the same move twice in a row Same effect as Torment;;G-Max Meltdown;Move
802;G-Max Drum Solo;8;Grass;;∞;5.0;;Moves can be used regardless of abilities. Power is always 160, regardless of base move. Works like Mold Breaker;;G-Max Drum Solo;Move
803;G-Max Fireball;8;Fire;;∞;5.0;;Moves can be used regardless of abilities. Power is always 160, regardless of base move. Works like Mold Breaker;;G-Max Fireball;Move
804;G-Max Hydrosnipe;8;Water;;∞;5.0;;Moves can be used regardless of abilities. Power is always 160, regardless of base move. Works like Mold Breaker;;G-Max Hydrosnipe;Move
805;G-Max Wind Rage;8;Flying;;∞;10.0;;Removes the effects of moves like Reflect, Light Screen, Spikes, and terrain from the opponents' side of the field. Works like Defog, but does not lower evasiveness.;;G-Max Wind Rage;Move
806;G-Max Gravitas;8;Psychic;;∞;5.0;;Intensifies gravity for five turns Same effect as Gravity;;G-Max Gravitas;Move
807;G-Max Stonesurge;8;Water;;∞;5.0;;Creates Stealth Rock on the opponents' side of the field;;G-Max Stonesurge;Move
808;G-Max Volcalith;8;Rock;;∞;10.0;;Inflicts damage for four turns on non-Rock-type opponents;100.0;G-Max Volcalith;Move
809;G-Max Tartness;8;Grass;;∞;10.0;;Lowers the evasiveness of all opponents by one stage;100.0;G-Max Tartness;Move
810;G-Max Sweetness;8;Grass;;∞;10.0;;Cures the user and its allies of their status conditions Only affects allies on the field;;G-Max Sweetness;Move
811;G-Max Sandblast;8;Ground;;∞;5.0;;Traps the target in Sand Tomb for four to five turns;100.0;G-Max Sandblast;Move
812;G-Max Stun Shock;8;Electric;;∞;10.0;;Inflicts poison or paralysis on all opponents;100.0;G-Max Stun Shock;Move
813;G-Max Centiferno;8;Fire;;∞;5.0;;Traps the target in Fire Spin for four to five turns;100.0;G-Max Centiferno;Move
814;G-Max Smite;8;Fairy;;∞;5.0;;Inflicts confusion on all opponents;100.0;G-Max Smite;Move
815;G-Max Snooze;8;Dark;;∞;5.0;;50% chance of making the target drowsy, causing it to fall asleep at the end of the next turn Same effect as Yawn when it works.;;G-Max Snooze;Move
816;G-Max Finale;8;Fairy;;∞;5.0;;Heals the user and its allies by 1/6 their maximum HP;;G-Max Finale;Move
817;G-Max Steelsurge;8;Steel;;∞;5.0;;Scatters sharp spikes around the field Works like Stealth Rock, though it checks the effectiveness of Steel against the target instead of Rock;;G-Max Steelsurge;Move
818;G-Max Depletion;8;Dragon;;∞;5.0;;Takes away 2 PP from the last move the target used Less potent version of Spite's effect.;;G-Max Depletion;Move
819;G-Max One Blow;8;Dark;;∞;5.0;;Hits the target even if it is protected by a protection move, including Max Guard Works like Feint;;G-Max One Blow;Move
820;G-Max Rapid Flow;8;Water;;∞;5.0;;Hits the target even if it is protected by a protection move, including Max Guard. Works like Feint;;G-Max Rapid Flow;Move
