index;Name;AlternativeEffect;Effect;UsageAttributes;SpecificCategory;GeneralCategory;image_url;id;Label
583;Tm03;Teaches Psyshock to a compatible Pokémon. (Gen IV & III: Water Pulse Gen II: Curse Gen I: Swords Dance);Teaches the move Swords Dance/Curse/Water Pulse/Psyshock/Helping Hand/Fire Punch.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-psychic.png;Tm03;Item
584;Tm04;Teaches Calm Mind to a compatible Pokémon. (Gen II: Rollout Gen I: Whirlwind);Teaches the move Whirlwind/Rollout/Calm Mind/Teleport/Ice Punch.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-psychic.png;Tm04;Item
585;Tm05;Teaches Roar to a compatible Pokémon. (Gen I: Mega Kick);Teaches the move Mega Kick/Roar/Rest/Thunder Punch.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Tm05;Item
586;Tm06;Teaches Toxic to a compatible Pokémon.;Teaches the move Toxic/Light Screen/Fly.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-poison.png;Tm06;Item
587;Tm07;Teaches Hail to a compatible Pokémon. (Gen II: Zap Cannon Gen I: Horn Drill);Teaches the move Horn Drill/Zap Cannon/Hail/Protect/Pin Missile.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-ice.png;Tm07;Item
588;Tm08;Teaches Bulk Up to a compatible Pokémon. (Gen II: Rock Smash Gen I: Body Slam);Teaches the move Body Slam/Rock Smash/Bulk Up/Substitute/Hyper Beam.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-fighting.png;Tm08;Item
589;Tm09;Teaches Venoshock to a compatible Pokémon. (Gen IV & III: Bullet Seed Gen II: Psych Up Gen I: Take Down);Teaches the move Take Down/Psych Up/Bullet Seed/Venoshock/Reflect/Giga Impact.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-poison.png;Tm09;Item
590;Tm10;Teaches Hidden Power to a compatible Pokémon. (Gen I: Double-Edge);Teaches the move Double-Edge/Hidden Power/Dig/Magical Leaf/Work Up.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Tm10;Item
591;Tm100;Teaches a Pokémon TM100.;Teaches the move Confide/Rock Climb.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Tm100;Item
592;Tm11;Teaches Sunny Day to a compatible Pokémon. (Gen I: BubbleBeam);Teaches the move BubbleBeam/Sunny Day/Will-O-Wisp/Solar Beam.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-fire.png;Tm11;Item
593;Tm12;Teaches Taunt to a compatible Pokémon. (Gen II: Sweet Scent Gen I: Water Gun);Teaches the move Water Gun/Sweet Scent/Taunt/Facade/Solar Blade.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-dark.png;Tm12;Item
594;Tm13;Teaches Ice Beam to a compatible Pokémon. (Gen II: Snore);Teaches the move Ice Beam/Snore/Brick Break/Fire Spin.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-ice.png;Tm13;Item
595;Tm14;Teaches Blizzard to a compatible Pokémon.;Teaches the move Blizzard/Fly/Thunder Wave.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-ice.png;Tm14;Item
596;Tm15;Teaches Hyper Beam to a compatible Pokémon.;Teaches the move Hyper Beam/Seismic Toss/Dig.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Tm15;Item
597;Tm16;Teaches Light Screen to a compatible Pokémon. (Gen II: Icy Wind Gen I: Pay Day);Teaches the move Pay Day/Icy Wind/Light Screen/Thunder Wave/Screech.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-psychic.png;Tm16;Item
598;Tm17;Teaches Protect to a compatible Pokémon. (Gen I: Submission);Teaches the move Submission/Protect/Dragon Tail/Light Screen.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Tm17;Item
599;Tm18;Teaches Rain Dance to a compatible Pokémon. (Gen I: Counter);Teaches the move Counter/Rain Dance/U-turn/Reflect.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-water.png;Tm18;Item
600;Tm19;Teaches Telekinesis to a compatible Pokémon. (Gen IV & III & II: Giga Drain Gen I: Seismic Toss);Teaches the move Seismic Toss/Giga Drain/Telekinesis/Roost/Iron Tail/Safeguard.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-flying.png;Tm19;Item
601;Tm20;Teaches Safeguard to a compatible Pokémon. (Gen II: Endure Gen I: Rage);Teaches the move Rage/Endure/Safeguard/Dark Pulse/Self-Destruct.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Tm20;Item
602;Tm21;Teaches Frustration to a compatible Pokémon. (Gen I: Mega Drain);Teaches the move Mega Drain/Frustration/Foul Play/Rest/Dazzling Gleam.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Tm21;Item
603;Tm22;Teaches SolarBeam to a compatible Pokémon.;Teaches the move SolarBeam/Rock Slide.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-grass.png;Tm22;Item
604;Tm23;Teaches Smack Down to a compatible Pokémon. (Gen IV & III & II: Iron Tail Gen I: Dragon Rage);Teaches the move Dragon Rage/Iron Tail/Smack Down/Thunder Punch/Thief.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-rock.png;Tm23;Item
605;Tm24;Teaches Thunderbolt to a compatible Pokémon. (Gen II: DragonBreath);Teaches the move Thunderbolt/DragonBreath/X-Scissor/Snore.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-electric.png;Tm24;Item
606;Tm25;Teaches Thunder to a compatible Pokémon.;Teaches the move Thunder/Waterfall/Protect.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-electric.png;Tm25;Item
607;Tm26;Teaches Earthquake to a compatible Pokémon.;Teaches the move Earthquake/Poison Jab/Scary Face.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-ground.png;Tm26;Item
608;Tm27;Teaches Return to a compatible Pokémon. (Gen I: Fissure);Teaches the move Fissure/Return/Toxic/Icy Wind/Low Sweep.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Tm27;Item
609;Tm28;Teaches Dig to a compatible Pokémon.;Teaches the move Dig/Leech Life/Tri Attack/Giga Drain.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-bug.png;Tm28;Item
610;Tm29;Teaches Psychic to a compatible Pokémon.;Teaches the move Psychic/Scald/Charm.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-psychic.png;Tm29;Item
611;Tm30;Teaches Shadow Ball to a compatible Pokémon. (Gen I: Teleport);Teaches the move Teleport/Shadow Ball/Bulk Up/Steel Wing.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-ghost.png;Tm30;Item
612;Tm31;Teaches Brick Break to a compatible Pokémon. (Gen II: Mud-Slap Gen I: Mimic);Teaches the move Mimic/Mud-Slap/Brick Break/Fire Punch/Attract.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-fighting.png;Tm31;Item
613;Tm32;Teaches Double Team to a compatible Pokémon.;Teaches the move Double Team/Dazzling Gleam/Sandstorm.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Tm32;Item
614;Tm33;Teaches Reflect to a compatible Pokémon. (Gen II: Ice Punch);Teaches the move Ice Punch/Reflect/Calm Mind/Rain Dance.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-psychic.png;Tm33;Item
615;Tm34;Teaches Sludge Wave to a compatible Pokémon. (Gen IV & III: Shock Wave Gen II: Swagger Gen I: Bide);Teaches the move Bide/Swagger/Shock Wave/Sludge Wave/Dragon Pulse/Sunny Day.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-poison.png;Tm34;Item
616;Tm35;Teaches Flamethrower to a compatible Pokémon. (Gen II: Sleep Talk Gen I: Metronome);Teaches the move Metronome/Sleep Talk/Flamethrower/Ice Punch/Hail.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-fire.png;Tm35;Item
617;Tm36;Teaches Sludge Bomb to a compatible Pokémon. (Gen I: Selfdestruct);Teaches the move Self-Destruct/Sludge Bomb/Thunderbolt/Whirlpool.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-poison.png;Tm36;Item
618;Tm37;Teaches Sandstorm to a compatible Pokémon. (Gen I: Egg Bomb);Teaches the move Egg Bomb/Sandstorm/Flamethrower/Beat Up.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-rock.png;Tm37;Item
619;Tm38;Teaches Fire Blast to a compatible Pokémon.;Teaches the move Fire Blast/Thunder/Will-O-Wisp.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-fire.png;Tm38;Item
620;Tm39;Teaches Rock Tomb to a compatible Pokémon. (Gen II & I: Swift);Teaches the move Swift/Rock Tomb/Outrage/Facade.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-rock.png;Tm39;Item
621;Tm40;Teaches Aerial Ace to a compatible Pokémon. (Gen II: Defense Curl Gen I: Skull Bash);Teaches the move Skull Bash/Defense Curl/Aerial Ace/Psychic/Swift.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-flying.png;Tm40;Item
622;Tm41;Teaches Torment to a compatible Pokémon. (Gen II: ThunderPunch Gen I: Softboiled);Teaches the move Softboiled/Thunder Punch/Torment/Earthquake/Helping Hand.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-dark.png;Tm41;Item
623;Tm42;Teaches Facade to a compatible Pokémon. (Gen II & I: Dream Eater);Teaches the move Dream Eater/Facade/Self-Destruct/Revenge.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Tm42;Item
624;Tm43;Teaches Flame Charge to a compatible Pokémon. (Gen IV & III: Secret Power Gen II: Detect Gen I: Sky Attack);Teaches the move Sky Attack/Detect/Secret Power/Flame Charge/Shadow Ball/Brick Break/Volt Switch.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-fire.png;Tm43;Item
625;Tm44;Teaches Rest to a compatible Pokémon.;Teaches the move Rest/Play Rough/Imprison.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-psychic.png;Tm44;Item
626;Tm45;Teaches Attract to a compatible Pokémon. (Gen I: Thunder Wave);Teaches the move Thunder Wave/Attract/Solar Beam/Dive.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Tm45;Item
627;Tm46;Teaches Thief to a compatible Pokémon. (Gen I: Psywave);Teaches the move Psywave/Thief/Fire Blast/Weather Ball.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-dark.png;Tm46;Item
628;Tm47;Teaches Low Sweep to a compatible Pokémon. (Gen IV & III & II: Steel Wing Gen I: Explosion);Teaches the move Explosion/Steel Wing/Low Sweep/Surf/Fake Tears.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-fighting.png;Tm47;Item
629;Tm48;Teaches Round to a compatible Pokémon. (Gen IV & III: Skill Swap Gen II: Fire Punch Gen I: Rock Slide);Teaches the move Rock Slide/Fire Punch/Skill Swap/Round/Hyper Beam/Rock Tomb.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Tm48;Item
630;Tm49;Teaches Echoed Voice to a compatible Pokémon. (Gen IV & III: Snatch Gen II: Fury Cutter Gen I: Tri Attack);Teaches the move Tri Attack/Fury Cutter/Snatch/Echoed Voice/Superpower/Sand Tomb/Scald.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Tm49;Item
631;Tm50;Teaches Overheat to a compatible Pokémon. (Gen II: Nightmare Gen I: Substitute);Teaches the move Substitute/Nightmare/Overheat/Roost/Bullet Seed.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-fire.png;Tm50;Item
632;Tm51;Teaches Ally Switch to a compatible Pokémon. (Gen IV: Roost);Teaches the move Roost/Ally Switch/Steel Wing/Blizzard/Icicle Spear.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-steel.png;Tm51;Item
633;Tm52;Teaches Focus Blast to a compatible Pokémon.;Teaches the move Focus Blast/Sludge Bomb/Bounce.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-fighting.png;Tm52;Item
634;Tm53;Teaches Energy Ball to a compatible Pokémon.;Teaches the move Energy Ball/Mega Drain/Mud Shot.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-grass.png;Tm53;Item
635;Tm54;Teaches False Swipe to a compatible Pokémon.;Teaches the move False Swipe/Flash Cannon/Rock Blast.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Tm54;Item
636;Tm55;Teaches Scald to a compatible Pokémon. (Gen IV: Brine);Teaches the move Brine/Scald/Ice Beam.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-water.png;Tm55;Item
637;Tm56;Teaches Fling to a compatible Pokémon.;Teaches the move Fling/Stealth Rock/U-turn.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-dark.png;Tm56;Item
638;Tm57;Teaches Charge Beam to a compatible Pokémon.;Teaches the move Charge Beam/Pay Day/Payback.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-electric.png;Tm57;Item
639;Tm58;Teaches Sky Drop to a compatible Pokémon. (Gen IV: Endure);Teaches the move Endure/Sky Drop/Drill Run/Assurance.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-flying.png;Tm58;Item
640;Tm59;Teaches Incinerate to a compatible Pokémon. (Gen IV: Dragon Pulse);Teaches the move Dragon Pulse/Incinerate/Brutal Swing/Dream Eater/Fling.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-dark.png;Tm59;Item
641;Tm60;Teaches Quash to a compatible Pokémon. (Gen IV: Drain Punch);Teaches the move Drain Punch/Quash/Megahorn/Power Swap.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-dark.png;Tm60;Item
642;Tm61;Teaches Will-O-Wisp to a compatible Pokémon.;Teaches the move Will-O-Wisp/Guard Swap.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-fire.png;Tm61;Item
643;Tm62;Teaches Acrobatics to a compatible Pokémon. (Gen IV: Silver Wind);Teaches the move Silver Wind/Acrobatics/Speed Swap/Bug Buzz.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-flying.png;Tm62;Item
644;Tm63;Teaches Embargo to a compatible Pokémon.;Teaches the move Embargo/Drain Punch/Nasty Plot.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-dark.png;Tm63;Item
645;Tm64;Teaches Explosion to a compatible Pokémon.;Teaches the move Explosion/Avalanche.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Tm64;Item
646;Tm65;Teaches Shadow Claw to a compatible Pokémon.;Teaches the move Shadow Claw.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-ghost.png;Tm65;Item
647;Tm66;Teaches Payback to a compatible Pokémon.;Teaches the move Payback/Thunder Fang.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-dark.png;Tm66;Item
648;Tm67;Teaches Retaliate to a compatible Pokémon. (Gen IV: Recycle);Teaches the move Recycle/Retaliate/Smart Strike/Ice Fang.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-steel.png;Tm67;Item
649;Tm68;Teaches Giga Impact to a compatible Pokémon.;Teaches the move Giga Impact/Fire Fang.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Tm68;Item
650;Tm69;Teaches Rock Polish to a compatible Pokémon.;Teaches the move Rock Polish/Psycho Cut.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-rock.png;Tm69;Item
651;Tm70;Teaches Flash to a compatible Pokémon.;Teaches the move Flash/Aurora Veil/Trick Room.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-ice.png;Tm70;Item
652;Tm71;Teaches Stone Edge to a compatible Pokémon.;Teaches the move Stone Edge/Wonder Room.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-rock.png;Tm71;Item
653;Tm72;Teaches Volt Switch to a compatible Pokémon. (Gen IV: Avalanche);Teaches the move Avalanche/Volt Switch/Magic Room.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-electric.png;Tm72;Item
654;Tm73;Teaches Thunder Wave to a compatible Pokémon.;Teaches the move Thunder Wave/Cross Poison.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-electric.png;Tm73;Item
655;Tm74;Teaches Gyro Ball to a compatible Pokémon.;Teaches the move Gyro Ball/Venoshock.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-steel.png;Tm74;Item
656;Tm75;Teaches Swords Dance to a compatible Pokémon.;Teaches the move Swords Dance/Low Sweep.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Tm75;Item
657;Tm76;Teaches Struggle Bug to a compatible Pokémon. (Gen IV: Stealth Rock);Teaches the move Stealth Rock/Struggle Bug/Fly/Round.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-flying.png;Tm76;Item
658;Tm77;Teaches Psych Up to a compatible Pokémon.;Teaches the move Psych Up/Hex.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Tm77;Item
659;Tm78;Teaches Bulldoze to a compatible Pokémon. (Gen IV: Captivate);Teaches the move Captivate/Bulldoze/Acrobatics/Snarl.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-ground.png;Tm78;Item
660;Tm79;Teaches Frost Breath to a compatible Pokémon. (Gen IV: Dark Pulse);Teaches the move Dark Pulse/Frost Breath/Retaliate.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-ice.png;Tm79;Item
661;Tm80;Teaches Rock Slide to a compatible Pokémon.;Teaches the move Rock Slide/Volt Switch.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-rock.png;Tm80;Item
662;Tm81;Teaches X-Scissor to a compatible Pokémon.;Teaches the move X-Scissor/Bulldoze.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-bug.png;Tm81;Item
663;Tm82;Teaches Dragon Tail to a compatible Pokémon. (Gen IV: Sleep Talk);Teaches the move Sleep Talk/Dragon Tail/Electroweb.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-dragon.png;Tm82;Item
664;Tm83;Teaches Work Up to a compatible Pokémon. (Gen IV: Natural Gift);Teaches the move Natural Gift/Work Up/Infestation/Razor Shell/Bulldoze.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-bug.png;Tm83;Item
665;Tm84;Teaches Poison Jab to a compatible Pokémon.;Teaches the move Poison Jab/Tail Slap.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-poison.png;Tm84;Item
666;Tm85;Teaches Dream Eater to a compatible Pokémon.;Teaches the move Dream Eater/Snarl.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-psychic.png;Tm85;Item
667;Tm86;Teaches Grass Knot to a compatible Pokémon.;Teaches the move Grass Knot/Phantom Force.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-grass.png;Tm86;Item
668;Tm87;Teaches Swagger to a compatible Pokémon.;Teaches the move Swagger/Draining Kiss.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Tm87;Item
669;Tm88;Teaches Pluck to a compatible Pokémon.;Teaches the move Pluck/Sleep Talk/Grassy Terrain.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Tm88;Item
670;Tm89;Teaches U-turn to a compatible Pokémon.;Teaches the move U-turn/Misty Terrain.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-bug.png;Tm89;Item
671;Tm90;Teaches Substitute to a compatible Pokémon.;Teaches the move Substitute/Electric Terrain.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Tm90;Item
672;Tm91;Teaches Flash Cannon to a compatible Pokémon.;Teaches the move Flash Cannon/Psychic Terrain.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-steel.png;Tm91;Item
673;Tm92;Teaches Trick Room to a compatible Pokémon.;Teaches the move Trick Room/Mystical Fire.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-psychic.png;Tm92;Item
674;Tm93;Teaches Wild Charge to a compatible Pokémon.;Teaches the move Wild Charge/Eerie Impulse/Cut.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-electric.png;Tm93;Item
675;Tm94;Teaches Rock Smash to a compatible Pokémon.;Teaches the move Rock Smash/Surf/False Swipe/Fly.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-fighting.png;Tm94;Item
676;Tm95;Teaches Snarl to a compatible Pokémon.;Teaches the move Snarl/Air Slash/Surf.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-dark.png;Tm95;Item
677;Tm96;Teaches a Pokémon TM96.;Teaches the move Nature Power/Smart Strike/Strength.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-normal.png;Tm96;Item
678;Tm97;Teaches a Pokémon TM97.;Teaches the move Dark Pulse/Brutal Swing/Defog.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-dark.png;Tm97;Item
679;Tm98;Teaches a Pokémon TM98.;Teaches the move Power-Up Punch/Waterfall/Stomping Tantrum/Rock Smash.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-water.png;Tm98;Item
680;Tm99;Teaches a Pokémon TM99.;Teaches the move Dazzling Gleam/Breaking Swipe/Waterfall.;;All Machines;Machines;https://img.pokemondb.net/sprites/items/tm-fairy.png;Tm99;Item
681;Tmv Pass;Permits access to Kiloude City.;A commuter pass that allows the holder to ride the TMV between Lumiose City and Kiloude City at any time.;;Gameplay;General items;https://img.pokemondb.net/sprites/items/tmv-pass.png;Tmv Pass;Item
682;Tough Candy;;Increases a Pokémon's Defense stat by 1.;;Vitamins;Medicine;https://img.pokemondb.net/sprites/items/tough-candy.png;Tough Candy;Item
683;Tough Candy L;;Increases a Pokémon's Defense stat.;;Vitamins;Medicine;https://img.pokemondb.net/sprites/items/tough-candy-l.png;Tough Candy L;Item
684;Tough Candy Xl;;Increases a Pokémon's Defense stat.;;Vitamins;Medicine;https://img.pokemondb.net/sprites/items/tough-candy-xl.png;Tough Candy Xl;Item
685;Toxic Orb;Held: Inflicts Toxic on the holder at the end of the turn. Activates after Poison damage would occur.;An item to be held by a Pokémon. It is a bizarre orb that badly poisons the holder in battle.;"holdable; holdable-active";Bad Held Items;Hold items;https://img.pokemondb.net/sprites/items/toxic-orb.png;Toxic Orb;Item
686;Toxic Plate;Held: Posion-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Posion.;Increases power of Poison-type moves. Changes Arceus' type to Poison.;"holdable; holdable-active; underground";Plates;Hold items;https://img.pokemondb.net/sprites/items/toxic-plate.png;Toxic Plate;Item
687;Tr00;;Teaches the move Swords Dance.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr00;Item
688;Tr01;;Teaches the move Body Slam.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr01;Item
689;Tr02;;Teaches the move Flamethrower.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr02;Item
690;Tr03;;Teaches the move Hydro Pump.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr03;Item
691;Tr04;;Teaches the move Surf.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr04;Item
692;Tr05;;Teaches the move Ice Beam.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr05;Item
693;Tr06;;Teaches the move Blizzard.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr06;Item
694;Tr07;;Teaches the move Low Kick.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr07;Item
695;Tr08;;Teaches the move Thunderbolt.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr08;Item
696;Tr09;;Teaches the move Thunder.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr09;Item
697;Tr10;;Teaches the move Earthquake.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr10;Item
698;Tr11;;Teaches the move Psychic.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr11;Item
699;Tr12;;Teaches the move Agility.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr12;Item
700;Tr13;;Teaches the move Focus Energy.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr13;Item
701;Tr14;;Teaches the move Metronome.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr14;Item
702;Tr15;;Teaches the move Fire Blast.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr15;Item
703;Tr16;;Teaches the move Waterfall.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr16;Item
704;Tr17;;Teaches the move Amnesia.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr17;Item
705;Tr18;;Teaches the move Leech Life.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr18;Item
706;Tr19;;Teaches the move Tri Attack.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr19;Item
707;Tr20;;Teaches the move Substitute.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr20;Item
708;Tr21;;Teaches the move Reversal.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr21;Item
709;Tr22;;Teaches the move Sludge Bomb.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr22;Item
710;Tr23;;Teaches the move Spikes.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr23;Item
711;Tr24;;Teaches the move Outrage.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr24;Item
712;Tr25;;Teaches the move Psyshock.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr25;Item
713;Tr26;;Teaches the move Endure.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr26;Item
714;Tr27;;Teaches the move Sleep Talk.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr27;Item
715;Tr28;;Teaches the move Megahorn.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr28;Item
716;Tr29;;Teaches the move Baton Pass.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr29;Item
717;Tr30;;Teaches the move Encore.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr30;Item
718;Tr31;;Teaches the move Iron Tail.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr31;Item
719;Tr32;;Teaches the move Crunch.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr32;Item
720;Tr33;;Teaches the move Shadow Ball.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr33;Item
721;Tr34;;Teaches the move Future Sight.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr34;Item
722;Tr35;;Teaches the move Uproar.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr35;Item
723;Tr36;;Teaches the move Heat Wave.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr36;Item
724;Tr37;;Teaches the move Taunt.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr37;Item
725;Tr38;;Teaches the move Trick.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr38;Item
726;Tr39;;Teaches the move Superpower.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr39;Item
727;Tr40;;Teaches the move Skill Swap.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr40;Item
728;Tr41;;Teaches the move Blaze Kick.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr41;Item
729;Tr42;;Teaches the move Hyper Voice.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr42;Item
730;Tr43;;Teaches the move Overheat.;;All Machines;Machines;https://img.pokemondb.net/s.png;Tr43;Item
