Nature,HP/Atk/Def/SpA/SpD/Spe,Use_Percentage (%),Pokemon
Adamant,84/252/0/0/0/172,0.342%,Golisopod
Impish,248/8/252/0/0/0,0.138%,Golisopod
Hardy,252/252/0/0/4/0,0.123%,Golisopod
Serious,84/252/92/0/0/0,0.103%,Golisopod
Timid,4/0/0/252/0/252,38.031%,Golduck
Timid,252/0/0/0/4/252,25.337%,Golduck
Timid,0/0/0/252/4/252,12.581%,Golduck
Timid,0/0/4/252/0/252,7.789%,Golduck
Jolly,0/252/0/0/4/252,1.561%,Golduck
Modest,0/0/0/252/0/252,1.556%,Golduck
Timid,58/0/0/252/0/200,1.239%,Golduck
Modest,4/0/0/252/0/252,1.209%,Golduck
Timid,0/0/0/252/0/252,0.832%,Golduck
Bold,252/0/4/0/252/0,0.813%,Golduck
Calm,252/0/60/4/156/36,0.785%,Golduck
Modest,12/0/0/252/0/244,0.697%,Golduck
Timid,252/0/92/4/68/92,0.598%,Golduck
Modest,252/0/0/252/0/4,0.582%,Golduck
Timid,252/0/44/0/0/212,0.545%,Golduck
Modest,196/0/0/196/0/116,0.544%,Golduck
Modest,0/0/0/252/4/252,0.537%,Golduck
Bold,196/0/252/0/4/52,0.470%,Golduck
Hasty,0/4/0/252/0/252,0.446%,Golduck
Calm,252/0/0/0/252/4,0.390%,Golduck
Sassy,252/0/148/0/108/0,34.926%,Shiinotic
Sassy,252/0/76/0/180/0,34.084%,Shiinotic
Quiet,252/0/0/252/4/0,6.564%,Shiinotic
Bold,0/0/252/4/252/0,4.409%,Shiinotic
Relaxed,252/0/4/252/0/0,3.951%,Shiinotic
Calm,252/0/0/4/252/0,3.872%,Shiinotic
Calm,252/0/4/0/252/0,3.050%,Shiinotic
Calm,252/0/0/128/128/0,1.246%,Shiinotic
Quiet,180/0/124/0/200/0,1.210%,Shiinotic
Sassy,252/0/0/0/252/4,1.020%,Shiinotic
Bold,116/0/220/16/156/0,0.787%,Shiinotic
Calm,252/0/180/0/76/0,0.700%,Shiinotic
Sassy,252/0/4/0/252/0,0.512%,Shiinotic
Sassy,4/0/252/0/252/0,0.509%,Shiinotic
Relaxed,252/0/252/4/0/0,0.402%,Shiinotic
Modest,252/0/0/252/4/0,0.398%,Shiinotic
Sassy,252/0/0/4/252/0,0.395%,Shiinotic
Modest,252/0/4/252/0/0,0.350%,Shiinotic
Calm,252/0/204/0/48/0,0.348%,Shiinotic
Quiet,252/0/4/252/0/0,0.278%,Shiinotic
Jolly,0/252/0/0/4/252,69.177%,Lycanroc Dusk Form
Jolly,4/252/0/0/0/252,24.714%,Lycanroc Dusk Form
Adamant,4/252/0/0/0/252,2.163%,Lycanroc Dusk Form
Adamant,0/252/4/0/0/252,0.612%,Lycanroc Dusk Form
Jolly,0/252/12/0/0/240,0.599%,Lycanroc Dusk Form
Adamant,76/252/100/0/0/76,0.599%,Lycanroc Dusk Form
Adamant,0/252/0/0/4/252,0.547%,Lycanroc Dusk Form
Jolly,0/252/4/0/0/252,0.505%,Lycanroc Dusk Form
Jolly,0/252/0/0/0/252,0.482%,Lycanroc Dusk Form
Adamant,0/0/252/0/252/0,0.235%,Lycanroc Dusk Form
Hardy,4/252/0/0/0/252,0.159%,Lycanroc Dusk Form
Adamant,0/252/0/0/0/252,0.073%,Lycanroc Dusk Form
Jolly,4/248/0/0/0/252,0.056%,Lycanroc Dusk Form
Jolly,252/0/0/0/4/252,0.030%,Lycanroc Dusk Form
Adamant,86/252/84/0/85/0,0.013%,Lycanroc Dusk Form
Hardy,1/1/0/1/1/1,0.009%,Lycanroc Dusk Form
Hardy,252/150/0/0/0/106,0.006%,Lycanroc Dusk Form
Adamant,114/252/44/0/48/46,0.006%,Lycanroc Dusk Form
Timid,4/252/0/0/0/252,0.004%,Lycanroc Dusk Form
Serious,0/252/0/0/0/252,0.003%,Lycanroc Dusk Form
Adamant,196/252/0/0/4/52,52.507%,Unfezant
Jolly,0/252/0/0/4/252,26.311%,Unfezant
Jolly,252/4/0/0/0/252,8.108%,Unfezant
Jolly,252/0/0/0/4/252,5.256%,Unfezant
Timid,252/4/0/0/0/252,4.390%,Unfezant
Jolly,0/252/0/0/0/252,0.765%,Unfezant
Hardy,4/0/0/0/252/252,0.399%,Unfezant
Naive,0/0/0/252/0/252,0.364%,Unfezant
Jolly,132/124/0/0/0/252,0.360%,Unfezant
Timid,248/0/0/0/8/252,0.348%,Unfezant
Jolly,4/252/0/0/0/252,0.345%,Unfezant
Jolly,104/152/0/0/0/252,0.199%,Unfezant
Timid,252/0/0/0/4/252,0.197%,Unfezant
Jolly,0/252/4/0/0/252,0.124%,Unfezant
Jolly,0/0/4/0/252/252,0.093%,Unfezant
Jolly,60/0/0/0/196/252,0.064%,Unfezant
Timid,8/0/0/248/0/252,0.059%,Unfezant
Jolly,252/0/4/0/0/252,0.045%,Unfezant
Timid,252/0/4/0/0/252,0.025%,Unfezant
Hardy,0/4/0/252/0/252,0.012%,Unfezant
Brave,252/252/0/0/4/0,23.694%,Perrserker
Adamant,252/252/4/0/0/0,18.021%,Perrserker
Adamant,252/252/0/0/4/0,14.278%,Perrserker
Brave,248/252/0/0/8/0,9.186%,Perrserker
Brave,248/252/0/0/4/0,7.568%,Perrserker
Adamant,196/252/0/0/60/0,7.164%,Perrserker
Adamant,4/252/0/0/0/252,5.849%,Perrserker
Adamant,248/252/0/0/8/0,3.690%,Perrserker
Brave,252/0/100/0/156/0,2.943%,Perrserker
Adamant,172/252/60/0/20/0,1.429%,Perrserker
Impish,252/0/252/0/0/0,1.156%,Perrserker
Impish,252/4/252/0/0/0,1.106%,Perrserker
Brave,196/252/0/0/60/0,0.911%,Perrserker
Brave,0/252/0/4/0/252,0.702%,Perrserker
Jolly,60/248/0/0/0/200,0.303%,Perrserker
Adamant,0/252/0/0/4/252,0.286%,Perrserker
Brave,252/0/124/128/4/0,0.194%,Perrserker
Brave,252/252/4/0/0/0,0.181%,Perrserker
Adamant,248/220/36/0/0/0,0.128%,Perrserker
Impish,248/8/252/0/0/0,0.122%,Perrserker
Quiet,252/0/0/252/4/0,50.713%,Galarian Slowbro
Quiet,252/0/4/252/0/0,12.408%,Galarian Slowbro
Modest,252/0/4/252/0/0,5.746%,Galarian Slowbro
Quiet,164/0/0/236/108/0,3.214%,Galarian Slowbro
Modest,252/0/0/252/4/0,2.875%,Galarian Slowbro
Relaxed,252/0/252/4/0/0,2.789%,Galarian Slowbro
Sassy,252/0/0/4/252/0,2.125%,Galarian Slowbro
Quiet,252/0/0/188/68/0,1.790%,Galarian Slowbro
Quiet,252/0/0/236/20/0,1.434%,Galarian Slowbro
Modest,252/0/0/180/76/0,1.203%,Galarian Slowbro
Relaxed,252/0/124/52/76/0,1.112%,Galarian Slowbro
Brave,252/76/20/0/160/0,0.880%,Galarian Slowbro
Bold,252/0/196/0/60/0,0.732%,Galarian Slowbro
Relaxed,252/0/4/0/252/0,0.712%,Galarian Slowbro
Quiet,252/4/0/252/0/0,0.676%,Galarian Slowbro
Quiet,236/0/4/252/12/0,0.574%,Galarian Slowbro
Quiet,252/0/0/252/0/0,0.547%,Galarian Slowbro
Quiet,244/0/0/252/12/0,0.546%,Galarian Slowbro
Sassy,252/0/100/0/156/0,0.503%,Galarian Slowbro
Modest,216/0/0/252/4/36,0.470%,Galarian Slowbro
Brave,252/252/0/0/4/0,61.536%,Bouffalant
Adamant,200/252/0/0/4/52,10.363%,Bouffalant
Adamant,252/252/0/0/4/0,7.980%,Bouffalant
Jolly,212/68/0/0/0/228,2.850%,Bouffalant
Brave,236/196/76/0/0/0,2.743%,Bouffalant
Brave,236/76/0/0/196/0,2.483%,Bouffalant
Brave,252/236/0/0/20/0,1.918%,Bouffalant
Adamant,252/252/0/0/0/0,1.616%,Bouffalant
Brave,236/152/60/0/60/0,1.329%,Bouffalant
Brave,236/236/36/0/0/0,1.290%,Bouffalant
Adamant,236/236/36/0/0/0,0.632%,Bouffalant
Adamant,252/252/4/0/0/0,0.602%,Bouffalant
Adamant,252/252/0/0/0/4,0.585%,Bouffalant
Sassy,252/4/0/0/252/0,0.493%,Bouffalant
Adamant,4/252/0/0/0/252,0.385%,Bouffalant
Brave,116/252/140/0/0/0,0.366%,Bouffalant
Jolly,252/252/0/0/4/0,0.318%,Bouffalant
Brave,252/252/4/0/0/0,0.313%,Bouffalant
Adamant,236/196/0/0/76/0,0.251%,Bouffalant
Adamant,248/252/4/0/4/0,0.231%,Bouffalant
Modest,0/0/0/252/4/252,46.307%,Frost Rotom
Timid,0/0/0/252/28/228,20.921%,Frost Rotom
Modest,252/0/0/220/0/36,17.449%,Frost Rotom
Modest,252/0/0/252/0/4,13.098%,Frost Rotom
Timid,0/0/0/252/4/252,1.394%,Frost Rotom
Timid,4/0/0/252/0/252,0.421%,Frost Rotom
Calm,252/0/0/4/252/0,0.244%,Frost Rotom
Modest,28/0/0/252/0/228,0.072%,Frost Rotom
Modest,132/0/0/252/0/124,0.054%,Frost Rotom
Timid,0/0/0/252/0/252,0.013%,Frost Rotom
Modest,4/0/0/252/0/252,0.006%,Frost Rotom
Modest,252/0/68/188/0/0,0.005%,Frost Rotom
Relaxed,252/0/0/252/4/0,0.005%,Frost Rotom
Modest,140/0/0/252/0/116,0.004%,Frost Rotom
Bold,252/0/0/252/4/0,0.004%,Frost Rotom
Timid,156/0/20/108/4/220,0.001%,Frost Rotom
Timid,252/0/44/0/0/212,0.001%,Frost Rotom
Hasty,4/0/0/252/0/252,0.001%,Frost Rotom
Timid,252/0/0/0/4/252,0.001%,Frost Rotom
Timid,244/0/4/4/4/252,0.000%,Frost Rotom
Timid,4/0/0/252/0/252,56.972%,Roserade
Timid,0/0/0/252/4/252,32.999%,Roserade
Modest,0/0/0/252/4/252,2.805%,Roserade
Timid,252/0/4/0/0/252,1.914%,Roserade
Timid,0/0/4/252/0/252,1.626%,Roserade
Timid,0/0/0/252/0/252,1.621%,Roserade
Modest,4/0/0/252/0/252,0.762%,Roserade
Modest,0/0/4/252/252/0,0.384%,Roserade
Timid,252/0/0/44/52/156,0.216%,Roserade
Modest,252/0/0/252/0/0,0.145%,Roserade
Modest,252/0/4/124/124/0,0.109%,Roserade
Hardy,28/0/76/188/60/156,0.105%,Roserade
Modest,0/0/148/148/148/60,0.079%,Roserade
Hardy,64/64/140/84/148/8,0.053%,Roserade
Jolly,0/0/0/252/80/176,0.039%,Roserade
Timid,252/0/0/252/0/4,0.037%,Roserade
Timid,0/0/252/0/252/4,0.027%,Roserade
Quiet,204/0/52/252/0/0,0.026%,Roserade
Calm,0/0/0/252/252/0,0.020%,Roserade
Serious,0/252/0/0/0/252,0.013%,Roserade
Sassy,252/0/0/4/252/0,29.722%,Tangrowth
Sassy,252/0/4/0/252/0,15.274%,Tangrowth
Sassy,252/0/252/0/4/0,10.909%,Tangrowth
Relaxed,188/68/0/0/252/0,8.149%,Tangrowth
Modest,252/0/0/252/4/0,6.936%,Tangrowth
Calm,252/0/4/4/140/108,6.901%,Tangrowth
Relaxed,252/0/252/4/0/0,3.956%,Tangrowth
Careful,252/0/0/4/252/0,3.574%,Tangrowth
Bold,252/0/252/4/0/0,2.243%,Tangrowth
Sassy,132/12/140/12/212/0,1.979%,Tangrowth
Hardy,252/4/252/0/0/0,1.681%,Tangrowth
Bold,252/0/28/12/212/4,1.518%,Tangrowth
Quiet,252/0/0/4/252/0,1.416%,Tangrowth
Calm,252/0/0/4/252/0,0.682%,Tangrowth
Relaxed,204/52/252/0/0/0,0.677%,Tangrowth
Bold,252/0/252/0/4/0,0.642%,Tangrowth
Adamant,252/252/0/0/4/0,0.598%,Tangrowth
Naive,252/4/0/0/0/252,0.503%,Tangrowth
Timid,248/0/0/0/8/252,0.215%,Tangrowth
Careful,252/4/0/0/252/0,0.189%,Tangrowth
Careful,252/4/0/0/252/0,27.587%,Sandaconda
Careful,252/0/4/0/252/0,25.509%,Sandaconda
Adamant,252/252/0/0/4/0,21.159%,Sandaconda
Adamant,120/136/0/0/252/0,5.633%,Sandaconda
Adamant,252/212/44/0/0/0,4.705%,Sandaconda
Sassy,244/8/4/0/252/0,2.002%,Sandaconda
Careful,252/0/148/0/108/0,1.909%,Sandaconda
Adamant,252/204/52/0/0/0,1.462%,Sandaconda
Brave,252/116/0/0/140/0,1.429%,Sandaconda
Jolly,4/252/0/0/0/252,1.054%,Sandaconda
Brave,252/252/0/0/4/0,1.052%,Sandaconda
Impish,252/0/252/0/4/0,0.856%,Sandaconda
Impish,252/0/4/0/252/0,0.789%,Sandaconda
Relaxed,252/0/252/0/4/0,0.729%,Sandaconda
Adamant,252/252/4/0/0/0,0.640%,Sandaconda
Impish,252/0/164/0/0/88,0.552%,Sandaconda
Impish,252/4/252/0/0/0,0.472%,Sandaconda
Adamant,252/100/0/0/156/0,0.434%,Sandaconda
Jolly,252/0/52/0/200/4,0.409%,Sandaconda
Relaxed,252/0/4/0/252/0,0.375%,Sandaconda
Bold,252/0/252/0/4/0,24.932%,Polteageist
Modest,0/0/0/252/4/252,22.895%,Polteageist
Timid,4/0/0/252/0/252,22.686%,Polteageist
Timid,4/0/140/108/0/252,11.893%,Polteageist
Bold,0/0/132/124/0/252,4.074%,Polteageist
Modest,0/0/60/252/0/196,2.581%,Polteageist
Timid,0/0/4/252/0/252,2.040%,Polteageist
Modest,112/0/252/0/0/144,1.336%,Polteageist
Modest,252/0/0/252/4/0,1.205%,Polteageist
Sassy,252/4/0/0/252/0,0.936%,Polteageist
Timid,0/0/0/252/4/252,0.836%,Polteageist
Modest,4/0/0/252/0/252,0.468%,Polteageist
Modest,0/0/156/252/96/0,0.453%,Polteageist
Timid,252/0/4/0/0/252,0.447%,Polteageist
Calm,252/0/4/0/252/0,0.388%,Polteageist
Modest,0/0/0/252/0/252,0.347%,Polteageist
Calm,252/0/0/4/252/0,0.332%,Polteageist
Modest,60/0/92/252/4/100,0.253%,Polteageist
Quiet,252/0/4/252/0/0,0.232%,Polteageist
Timid,0/0/0/252/0/252,0.216%,Polteageist
Bold,220/0/244/0/44/0,69.610%,Tangela
Bold,252/0/84/12/156/0,17.894%,Tangela
Sassy,252/0/84/0/171/0,3.260%,Tangela
Calm,252/0/0/0/252/4,2.722%,Tangela
Calm,252/0/4/0/252/0,1.651%,Tangela
Calm,128/0/124/0/252/0,1.289%,Tangela
Bold,252/0/76/0/176/0,1.249%,Tangela
Calm,252/0/92/0/164/0,1.088%,Tangela
Bold,252/0/84/16/156/0,0.597%,Tangela
Timid,252/0/4/0/0/252,0.196%,Tangela
Calm,92/0/164/0/252/0,0.147%,Tangela
Hardy,252/252/0/0/0/4,0.075%,Tangela
Calm,40/0/4/0/252/212,0.061%,Tangela
Quiet,4/0/252/252/0/0,0.035%,Tangela
Naughty,0/252/0/4/0/252,0.028%,Tangela
Impish,252/0/116/0/136/0,0.018%,Tangela
Naive,252/4/0/0/0/252,0.017%,Tangela
Bold,4/0/252/0/252/0,0.014%,Tangela
Bold,252/0/252/0/0/4,0.014%,Tangela
Calm,252/0/36/120/100/0,0.009%,Tangela
Jolly,4/252/0/0/0/252,81.496%,Morpeko Full Belly Mode
Adamant,4/252/0/0/0/252,5.444%,Morpeko Full Belly Mode
Adamant,0/252/0/0/0/252,3.865%,Morpeko Full Belly Mode
Jolly,0/252/0/0/4/252,3.057%,Morpeko Full Belly Mode
Jolly,0/252/0/0/0/252,2.124%,Morpeko Full Belly Mode
Adamant,0/252/0/0/4/252,1.516%,Morpeko Full Belly Mode
Hasty,0/252/0/4/0/252,1.415%,Morpeko Full Belly Mode
Jolly,252/12/0/0/0/244,0.643%,Morpeko Full Belly Mode
Jolly,12/240/0/0/4/252,0.205%,Morpeko Full Belly Mode
Jolly,0/252/4/0/0/252,0.103%,Morpeko Full Belly Mode
Adamant,0/252/0/4/0/252,0.084%,Morpeko Full Belly Mode
Adamant,0/252/20/0/0/236,0.021%,Morpeko Full Belly Mode
Hardy,4/252/0/0/0/252,0.009%,Morpeko Full Belly Mode
Jolly,4/0/252/0/0/252,0.005%,Morpeko Full Belly Mode
Jolly,252/4/0/0/0/252,0.005%,Morpeko Full Belly Mode
Jolly,4/244/4/0/4/252,0.004%,Morpeko Full Belly Mode
Timid,252/0/0/0/4/252,0.002%,Morpeko Full Belly Mode
Adamant,252/252/0/0/4/0,0.002%,Morpeko Full Belly Mode
Naughty,92/100/36/24/0/252,0.000%,Morpeko Full Belly Mode
Hardy,164/0/108/0/112/120,0.000%,Morpeko Full Belly Mode
Bold,252/0/76/0/176/0,80.219%,Eldegoss
Relaxed,252/0/0/4/252/0,5.373%,Eldegoss
Calm,0/0/252/4/252/0,3.543%,Eldegoss
Bold,252/0/100/0/156/0,2.984%,Eldegoss
Bold,140/0/140/0/0/228,1.889%,Eldegoss
Bold,252/0/4/0/252/0,1.171%,Eldegoss
Bold,252/0/156/0/100/0,0.985%,Eldegoss
Calm,252/0/0/4/252/0,0.951%,Eldegoss
Serious,252/0/124/0/0/128,0.588%,Eldegoss
Bold,252/0/252/4/0/0,0.581%,Eldegoss
Bold,252/0/252/0/4/0,0.520%,Eldegoss
Hardy,252/0/0/0/252/0,0.436%,Eldegoss
Calm,252/0/4/0/252/0,0.137%,Eldegoss
Relaxed,252/0/100/0/156/0,0.107%,Eldegoss
Modest,252/0/0/252/4/0,0.107%,Eldegoss
Calm,252/0/252/0/0/4,0.086%,Eldegoss
Relaxed,252/0/196/0/60/0,0.076%,Eldegoss
Bold,4/0/252/0/252/0,0.056%,Eldegoss
Relaxed,248/0/252/0/0/8,0.051%,Eldegoss
Bold,252/0/140/0/0/116,0.044%,Eldegoss
Relaxed,244/0/252/12/0/0,34.474%,Aromatisse
Relaxed,252/0/172/0/84/0,17.317%,Aromatisse
Sassy,252/0/236/0/16/0,11.032%,Aromatisse
Relaxed,244/0/252/0/12/0,10.473%,Aromatisse
Quiet,252/0/0/252/4/0,9.942%,Aromatisse
Sassy,244/0/0/12/252/0,3.481%,Aromatisse
Sassy,252/0/0/4/252/0,3.104%,Aromatisse
Relaxed,244/0/52/12/196/0,2.587%,Aromatisse
Relaxed,252/0/164/0/92/0,2.004%,Aromatisse
Relaxed,252/0/252/0/4/0,1.731%,Aromatisse
Quiet,252/0/172/0/84/0,1.128%,Aromatisse
Bold,252/0/252/4/0/0,0.553%,Aromatisse
Sassy,252/0/4/0/252/0,0.358%,Aromatisse
Relaxed,252/0/196/0/60/0,0.318%,Aromatisse
Sassy,252/0/188/0/68/0,0.281%,Aromatisse
Serious,252/0/124/0/132/0,0.244%,Aromatisse
Modest,252/0/0/252/4/0,0.212%,Aromatisse
Relaxed,252/0/100/0/156/0,0.191%,Aromatisse
Quiet,252/0/4/252/0/0,0.090%,Aromatisse
Modest,0/0/252/0/252/0,0.073%,Aromatisse
Adamant,252/252/0/0/4/0,59.451%,Miltank
Jolly,0/252/0/0/4/252,8.067%,Miltank
Adamant,4/252/0/0/0/252,6.486%,Miltank
Impish,252/0/252/0/0/4,5.382%,Miltank
Jolly,252/4/0/0/0/252,3.219%,Miltank
Adamant,252/132/124/0/0/0,2.854%,Miltank
Careful,252/252/0/0/4/0,1.720%,Miltank
Adamant,252/252/0/0/0/4,1.608%,Miltank
Careful,236/4/36/0/228/0,1.605%,Miltank
Adamant,0/252/0/0/4/252,1.518%,Miltank
Careful,252/0/36/0/216/0,1.493%,Miltank
Adamant,44/252/0/0/48/0,1.174%,Miltank
Adamant,76/252/36/0/116/28,1.020%,Miltank
Jolly,0/172/0/0/84/252,0.858%,Miltank
Jolly,4/252/4/0/4/244,0.516%,Miltank
Jolly,172/0/0/0/84/252,0.468%,Miltank
Impish,4/0/252/0/0/252,0.464%,Miltank
Jolly,4/252/0/0/0/252,0.277%,Miltank
Bold,252/0/252/0/4/0,0.256%,Miltank
Impish,0/4/252/0/252/0,0.219%,Miltank
Relaxed,244/36/60/0/164/0,69.529%,Gourgeist Super Size
Impish,252/4/4/0/180/68,12.151%,Gourgeist Super Size
Relaxed,252/0/116/0/140/0,5.505%,Gourgeist Super Size
Adamant,244/76/0/0/188/0,5.236%,Gourgeist Super Size
Adamant,252/72/4/0/180/0,2.222%,Gourgeist Super Size
Sassy,244/0/12/0/252/0,1.269%,Gourgeist Super Size
Sassy,252/4/0/0/252/0,1.125%,Gourgeist Super Size
Sassy,252/0/76/0/180/0,0.490%,Gourgeist Super Size
Sassy,244/30/0/0/236/0,0.287%,Gourgeist Super Size
Sassy,252/0/4/0/252/0,0.265%,Gourgeist Super Size
Brave,252/252/0/0/4/0,0.253%,Gourgeist Super Size
Relaxed,244/12/252/0/0/0,0.252%,Gourgeist Super Size
Brave,244/244/20/0/0/0,0.239%,Gourgeist Super Size
Sassy,4/252/0/0/252/0,0.207%,Gourgeist Super Size
Careful,252/0/4/0/252/0,0.195%,Gourgeist Super Size
Brave,204/52/0/0/252/0,0.173%,Gourgeist Super Size
Relaxed,252/4/252/0/0/0,0.117%,Gourgeist Super Size
Impish,252/4/4/0/244/4,0.089%,Gourgeist Super Size
Careful,252/12/0/0/244/0,0.078%,Gourgeist Super Size
Relaxed,252/4/4/0/244/0,0.077%,Gourgeist Super Size
Adamant,244/252/0/0/12/0,28.801%,Crawdaunt
Brave,108/252/148/0/0/0,17.132%,Crawdaunt
Brave,252/252/4/0/0/0,13.307%,Crawdaunt
Adamant,4/252/0/0/0/252,11.487%,Crawdaunt
Adamant,252/236/4/0/4/12,10.271%,Crawdaunt
Adamant,0/252/0/0/4/252,4.717%,Crawdaunt
Adamant,252/252/0/0/4/0,4.263%,Crawdaunt
Adamant,252/252/4/0/0/0,3.546%,Crawdaunt
Adamant,236/252/20/0/0/0,2.656%,Crawdaunt
Brave,252/252/0/0/4/0,2.484%,Crawdaunt
Adamant,0/252/0/0/0/252,0.333%,Crawdaunt
Brave,116/252/140/0/0/0,0.224%,Crawdaunt
Brave,252/252/0/0/0/0,0.142%,Crawdaunt
Adamant,252/252/0/0/0/4,0.137%,Crawdaunt
Jolly,0/252/0/0/0/252,0.117%,Crawdaunt
Adamant,148/252/0/0/108/0,0.107%,Crawdaunt
Adamant,0/252/4/0/0/252,0.102%,Crawdaunt
Jolly,4/252/0/0/0/252,0.048%,Crawdaunt
Adamant,116/252/0/0/0/140,0.045%,Crawdaunt
Adamant,160/248/0/0/0/100,0.023%,Crawdaunt
Jolly,4/252/0/0/0/252,30.570%,Heracross
Adamant,4/252/0/0/0/252,27.072%,Heracross
Jolly,0/252/0/0/4/252,12.056%,Heracross
Jolly,0/252/4/0/0/252,8.381%,Heracross
Adamant,148/76/148/0/0/136,4.306%,Heracross
Adamant,252/252/0/0/4/0,2.921%,Heracross
Adamant,4/252/76/0/76/100,2.689%,Heracross
Brave,252/252/4/0/0/0,2.142%,Heracross
Adamant,28/252/4/0/20/204,1.776%,Heracross
Adamant,0/252/0/0/4/252,1.332%,Heracross
Adamant,96/160/0/0/0/252,1.187%,Heracross
Adamant,252/252/0/0/0/0,1.106%,Heracross
Hardy,4/252/0/0/0/252,0.767%,Heracross
Jolly,12/244/0/0/0/252,0.529%,Heracross
Jolly,12/252/36/0/12/196,0.377%,Heracross
Adamant,28/204/4/0/92/180,0.358%,Heracross
Adamant,4/248/0/0/0/252,0.348%,Heracross
Hardy,156/252/12/0/0/84,0.324%,Heracross
Adamant,252/252/4/0/0/0,0.320%,Heracross
Brave,252/252/0/0/0/0,0.291%,Heracross
Modest,252/0/4/76/116/60,35.536%,Magneton
Quiet,252/0/4/252/0/0,32.027%,Magneton
Modest,248/0/0/220/8/0,12.433%,Magneton
Modest,252/0/0/252/4/0,8.889%,Magneton
Calm,150/0/108/200/50/0,7.559%,Magneton
Modest,180/0/0/252/0/76,1.029%,Magneton
Timid,0/0/0/252/0/252,0.481%,Magneton
Modest,252/0/4/252/0/0,0.350%,Magneton
Modest,248/0/0/252/8/0,0.333%,Magneton
Modest,252/0/92/0/160/0,0.262%,Magneton
Calm,252/0/0/4/252/0,0.227%,Magneton
Modest,0/0/124/252/126/4,0.163%,Magneton
Quiet,180/0/0/252/76/0,0.147%,Magneton
Modest,252/0/4/76/164/12,0.137%,Magneton
Modest,252/0/0/236/0/20,0.116%,Magneton
Modest,0/0/164/252/92/0,0.082%,Magneton
Bold,252/0/148/4/104/0,0.072%,Magneton
Timid,4/0/0/252/0/252,0.061%,Magneton
Modest,84/0/4/172/100/148,0.027%,Magneton
Modest,124/0/108/68/92/116,0.013%,Magneton
Adamant,4/252/0/0/0/252,22.334%,Stoutland
Jolly,252/0/4/0/0/252,12.415%,Stoutland
Jolly,4/252/0/0/0/252,10.676%,Stoutland
Jolly,244/12/0/0/0/252,9.250%,Stoutland
Jolly,252/0/0/0/4/252,5.630%,Stoutland
Jolly,0/252/0/0/4/252,4.954%,Stoutland
Adamant,252/252/4/0/0/0,3.540%,Stoutland
Jolly,20/252/0/0/0/236,2.625%,Stoutland
Impish,20/4/124/0/108/252,2.564%,Stoutland
Adamant,164/252/0/0/0/92,2.372%,Stoutland
Jolly,244/0/0/0/12/252,2.147%,Stoutland
Hardy,188/252/0/0/0/68,1.771%,Stoutland
Sassy,252/4/0/0/252/0,1.618%,Stoutland
Timid,236/0/0/0/20/252,1.522%,Stoutland
Jolly,4/4/244/0/4/252,1.514%,Stoutland
Adamant,252/252/0/0/0/4,1.068%,Stoutland
Adamant,252/100/0/0/0/156,1.004%,Stoutland
Timid,252/0/0/0/4/252,0.971%,Stoutland
Bold,252/0/52/4/140/60,0.856%,Stoutland
Sassy,244/12/0/0/252/0,0.702%,Stoutland
Timid,4/0/0/252/0/252,29.802%,Noivern
Timid,12/0/4/252/4/236,26.177%,Noivern
Timid,0/0/0/252/4/252,25.591%,Noivern
Timid,0/0/0/252/28/228,4.908%,Noivern
Timid,252/0/4/12/4/236,2.570%,Noivern
Modest,4/0/0/252/0/252,2.274%,Noivern
Timid,252/0/0/4/0/252,2.218%,Noivern
Hardy,4/0/0/252/0/252,1.385%,Noivern
Timid,0/0/0/252/0/252,0.826%,Noivern
Modest,0/0/100/252/100/56,0.570%,Noivern
Timid,4/0/4/244/4/252,0.544%,Noivern
Modest,0/0/0/252/4/252,0.506%,Noivern
Timid,252/0/4/0/0/252,0.449%,Noivern
Modest,0/0/44/252/0/212,0.436%,Noivern
Timid,4/0/252/0/0/252,0.405%,Noivern
Timid,252/0/0/0/4/252,0.303%,Noivern
Serious,4/0/0/252/0/252,0.289%,Noivern
Timid,244/0/0/12/0/252,0.133%,Noivern
Timid,6/0/0/252/0/252,0.110%,Noivern
Timid,28/0/0/252/0/228,0.072%,Noivern
Bold,252/0/252/0/4/0,48.883%,Claydol
Bold,252/104/0/0/148/0,19.573%,Claydol
Sassy,252/0/180/0/76/0,10.930%,Claydol
Careful,252/28/36/0/188/0,7.450%,Claydol
Timid,252/0/0/4/0/252,3.454%,Claydol
Hardy,252/0/0/0/0/0,2.485%,Claydol
Careful,252/4/0/0/252/0,2.042%,Claydol
Sassy,252/0/84/0/172/0,1.165%,Claydol
Relaxed,252/0/252/0/4/0,0.891%,Claydol
Quiet,252/0/0/252/4/0,0.755%,Claydol
Brave,252/252/0/0/4/0,0.605%,Claydol
Sassy,252/0/252/0/4/0,0.323%,Claydol
Quiet,0/0/252/4/252/0,0.182%,Claydol
Modest,0/0/252/128/128/0,0.156%,Claydol
Calm,252/0/4/0/252/0,0.155%,Claydol
Calm,252/0/52/116/88/0,0.141%,Claydol
Bold,252/0/116/4/132/4,0.120%,Claydol
Sassy,252/0/0/4/252/0,0.090%,Claydol
Quiet,252/0/0/136/120/0,0.087%,Claydol
Bold,4/0/252/0/252/0,0.072%,Claydol
Timid,4/0/0/252/0/252,37.060%,Jolteon
Modest,4/0/0/252/0/252,20.599%,Jolteon
Modest,68/0/44/244/4/148,11.787%,Jolteon
