,Pokemon,Teammate,Use_Percentage (%)
1981,Boltund,Charizard,48.981%
1982,Boltund,Groudon,48.832%
1983,Boltund,Incineroar,46.878%
1984,Boltund,Gastrodon,46.817%
1985,Boltund,Grimmsnarl,38.906%
1986,Boltund,Eternatus,38.761%
1987,Boltund,Diggersby,38.753%
1988,Boltund,Rillaboom,38.753%
1989,Boltund,Tornadus,3.127%
1990,Terrakion,Whimsicott,54.186%
1991,Terrakion,Calyrex-Shadow,38.115%
1992,Terrakion,Groudon,35.985%
1993,Terrakion,Rillaboom,30.956%
1994,Terrakion,Solgaleo,24.914%
1995,Terrakion,Gastrodon,21.411%
1996,Terrakion,Incineroar,18.775%
1997,Terrakion,Indeedee,18.621%
1998,Terrakion,Ferrothorn,18.601%
1999,Terrakion,Charizard,18.492%
2000,Cobalion,Whimsicott,55.797%
2001,Cobalion,Kyogre,48.455%
2002,Cobalion,Yveltal,39.447%
2003,Cobalion,Landorus-Therian,30.022%
2004,Cobalion,Kingler,27.368%
2005,Cobalion,Rillaboom,17.762%
2006,Cobalion,Dragapult,16.820%
2007,Cobalion,Indeedee-F,14.873%
2008,Cobalion,Zacian-Crowned,14.839%
2009,Cobalion,Kabutops,10.851%
2010,Kyurem-Black,Grimmsnarl,59.729%
2011,Kyurem-Black,Kyogre,34.978%
2012,Kyurem-Black,Yveltal,27.779%
2013,Kyurem-Black,Porygon2,25.360%
2014,Kyurem-Black,Araquanid,25.076%
2015,Kyurem-Black,Incineroar,24.601%
2016,Kyurem-Black,Metagross,21.074%
2017,Kyurem-Black,Dusclops,19.433%
2018,Kyurem-Black,Landorus-Therian,19.278%
2019,Kyurem-Black,Turtonator,17.469%
2020,Mantine,Kyogre,69.748%
2021,Mantine,Zacian-Crowned,68.825%
2022,Mantine,Incineroar,63.725%
2023,Mantine,Rillaboom,60.234%
2024,Mantine,Thundurus-Therian,53.557%
2025,Mantine,Landorus-Therian,10.186%
2026,Mantine,Amoonguss,8.578%
2027,Mantine,Ludicolo,6.008%
2028,Mantine,Thundurus,5.072%
2029,Mantine,Regieleki,1.002%
2030,Machamp,Zacian-Crowned,69.681%
2031,Machamp,Calyrex-Shadow,69.636%
2032,Machamp,Amoonguss,69.528%
2033,Machamp,Regieleki,66.044%
2034,Machamp,Moltres-Galar,64.757%
2035,Machamp,Calyrex-Ice,7.887%
2036,Machamp,Incineroar,7.583%
2037,Machamp,Accelgor,4.599%
2038,Machamp,Lunala,4.475%
2039,Machamp,Gastrodon,4.309%
2040,Goodra,Kyogre,47.126%
2041,Goodra,Gastrodon,38.686%
2042,Goodra,Groudon,33.714%
2043,Goodra,Cradily,30.103%
2044,Goodra,Incineroar,29.962%
2045,Goodra,Palkia,27.445%
2046,Goodra,Ludicolo,25.712%
2047,Goodra,Cherrim,22.833%
2048,Goodra,Charizard,22.703%
2049,Goodra,Azelf,22.692%
2050,Silvally,Calyrex-Shadow,45.050%
2051,Silvally,Yveltal,44.967%
2052,Silvally,Indeedee-F,44.966%
2053,Silvally,Stakataka,43.712%
2054,Silvally,Incineroar,40.953%
2055,Silvally,Regieleki,36.820%
2056,Silvally,Torkoal,36.428%
2057,Silvally,Calyrex-Ice,36.306%
2058,Silvally,Lunala,36.192%
2059,Silvally,Sableye,31.169%
2060,Accelgor,Palossand,75.418%
2061,Accelgor,Yveltal,47.426%
2062,Accelgor,Eternatus,39.111%
2063,Accelgor,Regigigas,39.005%
2064,Accelgor,Weezing,39.005%
2065,Accelgor,Calyrex-Ice,21.200%
2066,Accelgor,Zacian-Crowned,20.231%
2067,Accelgor,Urshifu,18.800%
2068,Accelgor,Porygon2,17.065%
2069,Accelgor,Landorus-Therian,16.605%
2070,Xurkitree,Zacian-Crowned,50.254%
2071,Xurkitree,Incineroar,44.861%
2072,Xurkitree,Calyrex-Shadow,40.525%
2073,Xurkitree,Whimsicott,30.057%
2074,Xurkitree,Zapdos-Galar,25.734%
2075,Xurkitree,Indeedee-F,25.728%
2076,Xurkitree,Rayquaza,17.950%
2077,Xurkitree,Blastoise,17.950%
2078,Xurkitree,Stakataka,16.187%
2079,Xurkitree,Tornadus,14.257%
2080,Tauros,Froslass,77.293%
2081,Tauros,Zacian-Crowned,73.885%
2082,Tauros,Grimmsnarl,73.662%
2083,Tauros,Calyrex-Shadow,70.255%
2084,Tauros,Regieleki,67.802%
2085,Tauros,Zapdos,4.712%
2086,Tauros,Dialga,4.712%
2087,Tauros,Kartana,4.712%
2088,Tauros,Whimsicott,3.589%
2089,Tauros,Kyogre,3.230%
2090,Garbodor,Palkia,83.420%
2091,Garbodor,Calyrex-Shadow,82.164%
2092,Garbodor,Thundurus,81.097%
2093,Garbodor,Ferrothorn,80.790%
2094,Garbodor,Darmanitan,80.773%
2095,Garbodor,Landorus-Therian,4.519%
2096,Garbodor,Incineroar,3.388%
2097,Garbodor,Raichu,2.647%
2098,Garbodor,Urshifu,2.647%
2099,Garbodor,Dialga,2.647%
2100,Luxray,Dialga,61.070%
2101,Luxray,Zacian-Crowned,60.871%
2102,Luxray,Whimsicott,60.642%
2103,Luxray,Zapdos-Galar,60.498%
2104,Luxray,Dracovish,60.498%
2105,Luxray,Kyogre,8.603%
2106,Luxray,Thundurus,8.177%
2107,Luxray,Zekrom,8.177%
2108,Luxray,Tapu%20Koko,8.177%
2109,Luxray,Mimikyu,8.092%
2110,Dugtrio,Solgaleo,63.465%
2111,Dugtrio,Incineroar,58.785%
2112,Dugtrio,Calyrex-Shadow,58.595%
2113,Dugtrio,Rillaboom,58.584%
2114,Dugtrio,Zapdos-Galar,58.583%
2115,Dugtrio,Venusaur,8.554%
2116,Dugtrio,Yveltal,6.947%
2117,Dugtrio,Zapdos,5.838%
2118,Dugtrio,Regieleki,4.880%
2119,Dugtrio,Clefairy,4.875%
2120,Rotom-Mow,Incineroar,53.821%
2121,Rotom-Mow,Articuno-Galar,46.085%
2122,Rotom-Mow,Eternatus,46.085%
2123,Rotom-Mow,Grimmsnarl,43.514%
2124,Rotom-Mow,Escavalier,40.420%
2125,Rotom-Mow,Kyogre,35.422%
2126,Rotom-Mow,Dusclops,24.970%
2127,Rotom-Mow,Calyrex-Ice,24.156%
2128,Rotom-Mow,Indeedee-F,22.702%
2129,Rotom-Mow,Marowak-Alola,22.416%
2130,Gengar,Kyogre,39.333%
2131,Gengar,Rayquaza,21.816%
2132,Gengar,Sirfetch'd,21.027%
2133,Gengar,Lucario,19.909%
2134,Gengar,Hitmontop,19.060%
2135,Gengar,Dragonite,18.759%
2136,Gengar,Dracovish,18.742%
2137,Gengar,Pikachu,18.657%
2138,Gengar,Raichu,18.286%
2139,Gengar,Bronzong,18.161%
2140,Glaceon,Zamazenta-Crowned,50.929%
2141,Glaceon,Incineroar,50.875%
2142,Glaceon,Araquanid,50.875%
2143,Glaceon,Zygarde,50.875%
2144,Glaceon,Regieleki,50.875%
2145,Glaceon,Groudon,37.459%
2146,Glaceon,Palkia,37.450%
2147,Glaceon,Leafeon,36.281%
2148,Glaceon,Umbreon,36.281%
2149,Glaceon,Espeon,36.281%
2150,Manectric,Kyogre,81.848%
2151,Manectric,Solgaleo,77.470%
2152,Manectric,Umbreon,77.470%
2153,Manectric,Incineroar,76.829%
2154,Manectric,Tornadus,66.388%
2155,Manectric,Whimsicott,15.347%
2156,Manectric,Zapdos-Galar,12.706%
2157,Manectric,Obstagoon,8.658%
2158,Manectric,Eternatus,8.445%
2159,Manectric,Palkia,7.729%
2160,Palossand,Accelgor,94.240%
2161,Palossand,Yveltal,59.202%
2162,Palossand,Weezing,48.739%
2163,Palossand,Eternatus,48.739%
2164,Palossand,Regigigas,48.739%
2165,Palossand,Calyrex-Ice,21.776%
2166,Palossand,Porygon2,21.324%
2167,Palossand,Urshifu,19.939%
2168,Palossand,Landorus-Therian,19.937%
2169,Palossand,Zacian-Crowned,15.452%
2170,Espeon,Indeedee-F,50.899%
2171,Espeon,Calyrex-Ice,42.321%
2172,Espeon,Groudon,39.871%
2173,Espeon,Umbreon,39.473%
2174,Espeon,Grapploct,39.299%
2175,Espeon,Thundurus,39.299%
2176,Espeon,Garchomp,38.908%
2177,Espeon,Palkia,36.977%
2178,Espeon,Leafeon,36.473%
2179,Espeon,Glaceon,36.459%
2180,Crobat,Incineroar,46.162%
2181,Crobat,Groudon,45.754%
2182,Crobat,Zacian-Crowned,41.813%
2183,Crobat,Rillaboom,38.114%
2184,Crobat,Sableye,38.044%
2185,Crobat,Calyrex-Shadow,29.190%
2186,Crobat,Kyogre,28.369%
2187,Crobat,Grimmsnarl,22.467%
2188,Crobat,Barraskewda,19.289%
2189,Crobat,Indeedee,19.289%
2190,Tyrantrum,Kyogre,86.268%
2191,Tyrantrum,Incineroar,75.266%
2192,Tyrantrum,Calyrex-Ice,74.976%
2193,Tyrantrum,Amoonguss,74.942%
2194,Tyrantrum,Scizor,74.942%
2195,Tyrantrum,Zacian-Crowned,11.656%
2196,Tyrantrum,Ferrothorn,11.327%
2197,Tyrantrum,Comfey,11.294%
2198,Tyrantrum,Ditto,11.294%
2199,Tyrantrum,Solgaleo,0.400%
2200,Cinccino,Zacian-Crowned,85.177%
2201,Cinccino,Rillaboom,65.075%
2202,Cinccino,Mudsdale,64.790%
2203,Cinccino,Palkia,64.747%
2204,Cinccino,Cloyster,64.743%
2205,Cinccino,Incineroar,25.228%
2206,Cinccino,Grimmsnarl,24.932%
2207,Cinccino,Regieleki,14.414%
2208,Cinccino,Kyurem-White,14.164%
2209,Cinccino,Groudon,10.983%
2210,Kommo-o,Groudon,72.571%
2211,Kommo-o,Yveltal,50.988%
2212,Kommo-o,Gastrodon,50.968%
2213,Kommo-o,Indeedee-F,46.381%
2214,Kommo-o,Entei,43.871%
2215,Kommo-o,Incineroar,38.081%
2216,Kommo-o,Amoonguss,28.209%
2217,Kommo-o,Xerneas,27.876%
2218,Kommo-o,Rotom-Wash,27.033%
2219,Kommo-o,Zacian-Crowned,9.986%
2220,Blissey,Kyogre,65.255%
2221,Blissey,Zacian-Crowned,60.248%
2222,Blissey,Landorus-Therian,58.495%
2223,Blissey,Sceptile,58.463%
2224,Blissey,Primarina,58.463%
2225,Blissey,Regieleki,21.548%
2226,Blissey,Incineroar,21.429%
2227,Blissey,Calyrex-Shadow,21.392%
2228,Blissey,Stakataka,21.036%
2229,Blissey,Mienshao,21.036%
2230,Cloyster,Zacian-Crowned,74.181%
2231,Cloyster,Rillaboom,62.071%
2232,Cloyster,Palkia,56.960%
2233,Cloyster,Cinccino,56.930%
2234,Cloyster,Mudsdale,56.930%
2235,Cloyster,Incineroar,13.893%
2236,Cloyster,Grimmsnarl,12.116%
2237,Cloyster,Whimsicott,11.297%
2238,Cloyster,Comfey,11.256%
2239,Cloyster,Lugia,11.255%
2240,Blaziken,Amoonguss,47.567%
2241,Blaziken,Kyogre,38.729%
2242,Blaziken,Comfey,31.337%
2243,Blaziken,Landorus-Therian,29.415%
2244,Blaziken,Tornadus,28.181%
2245,Blaziken,Solgaleo,28.172%
2246,Blaziken,Corviknight,18.204%
2247,Blaziken,Tapu%20Koko,17.931%
2248,Blaziken,Zekrom,17.931%
2249,Blaziken,Indeedee-F,11.296%
2250,Drampa,Zacian-Crowned,82.838%
2251,Drampa,Incineroar,50.972%
2252,Drampa,Rillaboom,43.090%
2253,Drampa,Calyrex-Shadow,42.605%
2254,Drampa,Blastoise,42.530%
2255,Drampa,Dusclops,40.243%
2256,Drampa,Tapu%20Fini,39.323%
2257,Drampa,Palkia,36.255%
2258,Drampa,Rotom-Heat,36.255%
2259,Drampa,Calyrex-Ice,10.102%
2260,Hawlucha,Zacian-Crowned,57.146%
2261,Hawlucha,Incineroar,38.559%
2262,Hawlucha,Thundurus,32.682%
2263,Hawlucha,Xerneas,31.331%
2264,Hawlucha,Indeedee-F,27.496%
2265,Hawlucha,Grimmsnarl,21.986%
2266,Hawlucha,Kyogre,19.961%
2267,Hawlucha,Seismitoad,19.632%
2268,Hawlucha,Amoonguss,17.126%
2269,Hawlucha,Regigigas,16.969%
2270,Mr. Mime-Galar,Zacian-Crowned,66.779%
2271,Mr. Mime-Galar,Kyogre,63.643%
2272,Mr. Mime-Galar,Incineroar,62.249%
2273,Mr. Mime-Galar,Regieleki,43.888%
2274,Mr. Mime-Galar,Landorus-Therian,41.071%
2275,Mr. Mime-Galar,Tornadus,20.649%
2276,Mr. Mime-Galar,Kartana,19.736%
2277,Mr. Mime-Galar,Whimsicott,3.462%
2278,Mr. Mime-Galar,Charizard,2.817%
2279,Mr. Mime-Galar,Lunala,1.448%
2280,Grapploct,Lapras,62.940%
2281,Grapploct,Gothitelle,37.046%
2282,Grapploct,Sandaconda,37.016%
2283,Grapploct,Gengar,36.953%
2284,Grapploct,Centiskorch,36.835%
2285,Grapploct,Arcanine,23.068%
2286,Grapploct,Talonflame,22.328%
2287,Grapploct,Indeedee,22.245%
2288,Grapploct,Corviknight,22.241%
2289,Grapploct,Urshifu-Rapid-Strike,22.241%
2290,Zoroark,Amoonguss,36.796%
2291,Zoroark,Hatterene,35.102%
2292,Zoroark,Chandelure,33.207%
2293,Zoroark,Gyarados,32.903%
2294,Zoroark,Snorlax,31.213%
2295,Zoroark,Togekiss,29.778%
2296,Zoroark,Rillaboom,23.777%
2297,Zoroark,Porygon2,15.806%
2298,Zoroark,Venusaur,14.792%
2299,Zoroark,Lapras,13.735%
2300,Lilligant,Torkoal,75.221%
2301,Lilligant,Dusclops,31.726%
2302,Lilligant,Togekiss,29.059%
2303,Lilligant,Bouffalant,21.280%
2304,Lilligant,Indeedee-F,21.052%
2305,Lilligant,Venusaur,19.752%
2306,Lilligant,Ninetales,18.744%
2307,Lilligant,Comfey,18.685%
2308,Lilligant,Rhyperior,18.331%
2309,Lilligant,Goodra,18.164%
2310,Clawitzer,Rillaboom,58.057%
2311,Clawitzer,Indeedee-F,45.281%
2312,Clawitzer,Porygon2,34.482%
2313,Clawitzer,Marowak-Alola,31.007%
2314,Clawitzer,Hatterene,29.503%
2315,Clawitzer,Coalossal,16.881%
2316,Clawitzer,Togekiss,15.403%
2317,Clawitzer,Urshifu,14.794%
2318,Clawitzer,Incineroar,11.580%
2319,Clawitzer,Sylveon,10.750%
2320,Qwilfish,Coalossal,86.009%
2321,Qwilfish,Rillaboom,83.979%
2322,Qwilfish,Incineroar,83.290%
2323,Qwilfish,Indeedee-F,82.967%
2324,Qwilfish,Togekiss,82.732%
2325,Qwilfish,Indeedee,1.510%
2326,Qwilfish,Grimmsnarl,1.160%
2327,Qwilfish,Clawitzer,1.154%
2328,Qwilfish,Ferrothorn,1.081%
2329,Qwilfish,Manectric,0.752%
2330,Haxorus,Braviary,85.326%
2331,Haxorus,Indeedee-F,83.084%
2332,Haxorus,Dusclops,81.503%
2333,Haxorus,Urshifu-Rapid-Strike,81.445%
2334,Haxorus,Hatterene,81.414%
2335,Haxorus,Incineroar,6.792%
2336,Haxorus,Whimsicott,4.984%
2337,Haxorus,Togekiss,4.677%
2338,Haxorus,Tyranitar,2.732%
2339,Haxorus,Amoonguss,2.680%
2340,Dhelmise,Kingdra,36.024%
2341,Dhelmise,Porygon2,34.424%
2342,Dhelmise,Politoed,33.637%
2343,Dhelmise,Indeedee-F,33.493%
2344,Dhelmise,Togekiss,21.964%
2345,Dhelmise,Rillaboom,21.549%
2346,Dhelmise,Hatterene,18.134%
2347,Dhelmise,Volcarona,15.343%
2348,Dhelmise,Mimikyu,14.717%
2349,Dhelmise,Incineroar,14.517%
2350,Runerigus,Hatterene,48.346%
2351,Runerigus,Amoonguss,42.162%
2352,Runerigus,Liepard,39.074%
2353,Runerigus,Shuckle,39.035%
2354,Runerigus,Chansey,39.030%
2355,Runerigus,Dusclops,17.873%
2356,Runerigus,Torkoal,15.959%
2357,Runerigus,Incineroar,14.974%
2358,Runerigus,Togekiss,12.443%
2359,Runerigus,Rillaboom,11.812%
2360,Braviary,Incineroar,38.734%
2361,Braviary,Indeedee-F,28.404%
2362,Braviary,Hatterene,25.079%
2363,Braviary,Cinderace,24.611%
2364,Braviary,Venusaur,24.481%
2365,Braviary,Amoonguss,23.146%
2366,Braviary,Torkoal,22.724%
2367,Braviary,Rillaboom,22.691%
2368,Braviary,Porygon2,21.343%
2369,Braviary,Urshifu-Rapid-Strike,20.610%
2370,Virizion,Incineroar,42.610%
2371,Virizion,Indeedee-F,27.907%
2372,Virizion,Dragapult,23.979%
2373,Virizion,Togekiss,22.501%
2374,Virizion,Blastoise,18.065%
2375,Virizion,Hatterene,17.936%
2376,Virizion,Porygon-Z,16.794%
2377,Virizion,Starmie,16.208%
2378,Virizion,Whimsicott,14.888%
2379,Virizion,Porygon2,14.033%
2380,Togetic,Lapras,22.330%
2381,Togetic,Riolu,21.171%
2382,Togetic,Arcanine,19.088%
2383,Togetic,Golurk,18.669%
2384,Togetic,Slowbro-Galar,18.530%
2385,Togetic,Togekiss,17.564%
2386,Togetic,Conkeldurr,14.656%
2387,Togetic,Drapion,14.085%
2388,Togetic,Excadrill,12.839%
2389,Togetic,Grimmsnarl,11.568%
2390,Raichu-Alola,Pincurchin,65.062%
2391,Raichu-Alola,Indeedee-F,53.223%
2392,Raichu-Alola,Urshifu-Rapid-Strike,23.368%
2393,Raichu-Alola,Dragapult,22.262%
2394,Raichu-Alola,Cinderace,19.444%
2395,Raichu-Alola,Togekiss,18.197%
2396,Raichu-Alola,Incineroar,15.943%
2397,Raichu-Alola,Volcarona,14.662%
2398,Raichu-Alola,Politoed,12.291%
2399,Raichu-Alola,Primarina,11.863%
2400,Beartic,Ninetales-Alola,49.168%
2401,Beartic,Togekiss,29.373%
2402,Beartic,Indeedee-F,28.380%
2403,Beartic,Rillaboom,21.625%
2404,Beartic,Politoed,20.942%
2405,Beartic,Lapras,20.465%
2406,Beartic,Froslass,20.066%
2407,Beartic,Cinderace,19.934%
2408,Beartic,Urshifu,18.745%
2409,Beartic,Gothitelle,16.377%
2410,Copperajah,Dusclops,37.538%
2411,Copperajah,Indeedee-F,31.950%
2412,Copperajah,Incineroar,26.588%
2413,Copperajah,Venusaur,22.996%
2414,Copperajah,Togekiss,21.668%
2415,Copperajah,Hatterene,21.085%
2416,Copperajah,Rillaboom,20.434%
2417,Copperajah,Torkoal,19.727%
2418,Copperajah,Dragapult,18.295%
2419,Copperajah,Porygon2,13.703%
2420,Flapple,Whimsicott,55.523%
2421,Flapple,Togekiss,54.925%
2422,Flapple,Excadrill,50.517%
2423,Flapple,Tyranitar,49.449%
2424,Flapple,Arcanine,48.701%
2425,Flapple,Rillaboom,15.322%
2426,Flapple,Pelipper,10.082%
2427,Flapple,Indeedee-F,8.324%
2428,Flapple,Kingdra,8.319%
2429,Flapple,Dracovish,6.739%
2430,Sylveon,Whimsicott,37.984%
2431,Sylveon,Incineroar,37.362%
2432,Sylveon,Rillaboom,23.537%
2433,Sylveon,Arcanine,22.528%
2434,Sylveon,Lapras,22.519%
2435,Sylveon,Dragapult,22.018%
2436,Sylveon,Duraludon,21.274%
2437,Sylveon,Indeedee,16.533%
2438,Sylveon,Indeedee-F,15.996%
2439,Sylveon,Clefairy,15.995%
2440,Slurpuff,Indeedee,59.442%
2441,Slurpuff,Rillaboom,37.859%
2442,Slurpuff,Torkoal,25.889%
2443,Slurpuff,Indeedee-F,24.102%
2444,Slurpuff,Urshifu-Rapid-Strike,23.322%
2445,Slurpuff,Porygon2,22.235%
2446,Slurpuff,Hatterene,21.802%
2447,Slurpuff,Incineroar,20.866%
2448,Slurpuff,Azumarill,18.319%
2449,Slurpuff,Togekiss,17.452%
2450,Eiscue,Milotic,65.475%
2451,Eiscue,Weavile,65.361%
2452,Eiscue,Dracovish,63.120%
2453,Eiscue,Glaceon,62.835%
2454,Eiscue,Sneasel,29.349%
2455,Eiscue,Ninetales-Alola,14.046%
2456,Eiscue,Scizor,8.027%
2457,Eiscue,Comfey,6.718%
2458,Eiscue,Indeedee-F,6.698%
2459,Eiscue,Togekiss,6.697%
2460,Hippowdon,Rillaboom,35.095%
2461,Hippowdon,Incineroar,30.306%
2462,Hippowdon,Rotom-Heat,27.962%
2463,Hippowdon,Urshifu,23.745%
2464,Hippowdon,Dragapult,22.884%
2465,Hippowdon,Lycanroc,22.446%
2466,Hippowdon,Duraludon,21.998%
2467,Hippowdon,Excadrill,18.568%
2468,Hippowdon,Clefairy,17.069%
2469,Hippowdon,Indeedee-F,13.446%
2470,Alakazam,Indeedee-F,65.665%
2471,Alakazam,Hatterene,20.075%
2472,Alakazam,Indeedee,19.391%
2473,Alakazam,Incineroar,19.043%
2474,Alakazam,Cinderace,18.028%
2475,Alakazam,Rillaboom,16.525%
2476,Alakazam,Torkoal,16.243%
2477,Alakazam,Porygon2,15.649%
2478,Alakazam,Togekiss,15.597%
2479,Alakazam,Amoonguss,13.560%
2480,Torracat,Tyranitar,89.781%
2481,Torracat,Amoonguss,87.486%
2482,Torracat,Corviknight,82.990%
2483,Torracat,Toxtricity,82.837%
2484,Torracat,Grimmsnarl,82.833%
2485,Torracat,Braviary,6.129%
2486,Torracat,Rillaboom,4.436%
2487,Torracat,Gigalith,4.341%
2488,Torracat,Obstagoon,4.095%
2489,Torracat,Dragapult,3.982%
2490,Thievul,Indeedee,54.657%
2491,Thievul,Incineroar,53.950%
2492,Thievul,Cinderace,51.093%
2493,Thievul,Torkoal,46.205%
2494,Thievul,Clefairy,45.157%
2495,Thievul,Rillaboom,22.363%
2496,Thievul,Togekiss,14.819%
2497,Thievul,Cobalion,12.679%
2498,Thievul,Indeedee-F,10.983%
2499,Thievul,Terrakion,10.766%
2500,Arctozolt,Whimsicott,46.381%
2501,Arctozolt,Cinderace,46.001%
2502,Arctozolt,Togekiss,43.249%
2503,Arctozolt,Dracovish,24.744%
2504,Arctozolt,Dusclops,24.467%
2505,Arctozolt,Golisopod,21.494%
2506,Arctozolt,Weezing-Galar,21.415%
2507,Arctozolt,Goodra,21.415%
2508,Arctozolt,Marowak-Alola,17.539%
2509,Arctozolt,Rillaboom,17.315%
2510,Cofagrigus,Togekiss,50.692%
2511,Cofagrigus,Incineroar,39.071%
2512,Cofagrigus,Zoroark,38.077%
2513,Cofagrigus,Torkoal,19.230%
2514,Cofagrigus,Amoonguss,18.081%
2515,Cofagrigus,Chansey,17.417%
2516,Cofagrigus,Sirfetch'd,16.830%
2517,Cofagrigus,Indeedee-F,16.801%
2518,Cofagrigus,Milotic,16.233%
2519,Cofagrigus,Rillaboom,15.257%
2520,Starmie,Incineroar,37.114%
2521,Starmie,Porygon-Z,31.162%
2522,Starmie,Indeedee,31.021%
2523,Starmie,Indeedee-F,30.362%
2524,Starmie,Cinderace,28.219%
2525,Starmie,Gyarados,25.612%
2526,Starmie,Terrakion,24.059%
2527,Starmie,Ludicolo,23.044%
2528,Starmie,Rillaboom,16.679%
2529,Starmie,Talonflame,15.517%
2530,Turtonator,Togekiss,70.579%
2531,Turtonator,Sirfetch'd,67.468%
2532,Turtonator,Milotic,63.024%
2533,Turtonator,Excadrill,62.204%
2534,Turtonator,Mimikyu,62.153%
2535,Turtonator,Indeedee-F,13.133%
2536,Turtonator,Indeedee,10.340%
2537,Turtonator,Alakazam,9.690%
2538,Turtonator,Gengar,9.353%
2539,Turtonator,Whimsicott,9.319%
2540,Sharpedo,Porygon2,41.289%
2541,Sharpedo,Amoonguss,37.210%
2542,Sharpedo,Marowak-Alola,37.153%
2543,Sharpedo,Palossand,29.287%
2544,Sharpedo,Accelgor,29.286%
2545,Sharpedo,Tyranitar,20.714%
2546,Sharpedo,Excadrill,18.875%
2547,Sharpedo,Venusaur,16.722%
2548,Sharpedo,Conkeldurr,16.553%
2549,Sharpedo,Torkoal,16.421%
2550,Salazzle,Duraludon,38.134%
2551,Salazzle,Togekiss,33.052%
2552,Salazzle,Cobalion,32.020%
2553,Salazzle,Tsareena,27.222%
2554,Salazzle,Inteleon,25.789%
2555,Salazzle,Whimsicott,23.402%
2556,Salazzle,Rillaboom,21.625%
2557,Salazzle,Dracozolt,20.864%
2558,Salazzle,Grimmsnarl,19.669%
2559,Salazzle,Primarina,19.591%
2560,Ninetales,Venusaur,71.038%
2561,Ninetales,Charizard,32.866%
2562,Ninetales,Urshifu,18.718%
2563,Ninetales,Togekiss,16.611%
2564,Ninetales,Braviary,16.071%
2565,Ninetales,Magnezone,16.025%
2566,Ninetales,Urshifu-Rapid-Strike,14.638%
2567,Ninetales,Torkoal,13.894%
2568,Ninetales,Meowstic,13.720%
2569,Ninetales,Mimikyu,12.066%
2570,Sirfetch'd,Gyarados,38.874%
2571,Sirfetch'd,Corviknight,27.805%
2572,Sirfetch'd,Cinderace,26.630%
2573,Sirfetch'd,Gastrodon,25.741%
2574,Sirfetch'd,Marowak,25.529%
2575,Sirfetch'd,Mimikyu,22.332%
2576,Sirfetch'd,Turtonator,18.055%
2577,Sirfetch'd,Excadrill,17.855%
2578,Sirfetch'd,Milotic,17.640%
2579,Sirfetch'd,Rotom-Heat,14.147%
2580,Sirfetch'd,Cofagrigus,5.637%
2581,Sirfetch'd,Zoroark,4.313%
2582,Emolga,Rillaboom,69.314%
2583,Emolga,Arcanine,37.506%
2584,Emolga,Cinderace,37.451%
2585,Emolga,Urshifu,37.403%
2586,Emolga,Primarina,37.197%
2587,Emolga,Tyranitar,34.548%
2588,Emolga,Togekiss,33.013%
2589,Emolga,Excadrill,32.320%
2590,Emolga,Meowstic,32.225%
2591,Emolga,Pincurchin,11.065%
2592,Ribombee,Snorlax,34.984%
2593,Ribombee,Indeedee-F,31.630%
2594,Ribombee,Togekiss,24.005%
2595,Ribombee,Marowak-Alola,22.576%
2596,Ribombee,Lapras,21.147%
2597,Ribombee,Weezing,20.379%
2598,Ribombee,Crustle,19.266%
2599,Ribombee,Hitmontop,17.040%
2600,Ribombee,Golduck,16.791%
2601,Ribombee,Incineroar,15.207%
2602,Charjabug,Primarina,89.477%
2603,Charjabug,Accelgor,87.278%
2604,Charjabug,Sylveon,78.222%
2605,Charjabug,Heliolisk,76.694%
2606,Charjabug,Ninetales,76.033%
2607,Charjabug,Porygon-Z,9.264%
2608,Charjabug,Ninjask,6.112%
2609,Charjabug,Milotic,6.112%
2610,Charjabug,Rillaboom,5.273%
2611,Charjabug,Indeedee-F,3.601%
2612,Toxtricity,Cinderace,52.140%
2613,Toxtricity,Rillaboom,44.127%
2614,Toxtricity,Whimsicott,30.176%
2615,Toxtricity,Togekiss,29.582%
2616,Toxtricity,Dracovish,28.539%
2617,Toxtricity,Indeedee,24.782%
2618,Toxtricity,Incineroar,22.547%
2619,Toxtricity,Dragapult,17.269%
2620,Toxtricity,Urshifu,14.913%
2621,Toxtricity,Primarina,14.628%
2622,Vaporeon,Espeon,51.079%
2623,Vaporeon,Sylveon,50.594%
2624,Vaporeon,Flareon,49.127%
2625,Vaporeon,Jolteon,48.452%
2626,Vaporeon,Umbreon,47.431%
2627,Vaporeon,Cinderace,27.690%
2628,Vaporeon,Weavile,13.536%
2629,Vaporeon,Dragapult,13.098%
2630,Vaporeon,Scizor,12.517%
2631,Vaporeon,Rhydon,11.653%
2632,Mr. Mime,Chansey,57.922%
2633,Mr. Mime,Shuckle,57.922%
2634,Mr. Mime,Hatterene,53.112%
2635,Mr. Mime,Indeedee-F,51.162%
2636,Mr. Mime,Liepard,27.646%
2637,Mr. Mime,Amoonguss,24.907%
2638,Mr. Mime,Togekiss,24.201%
2639,Mr. Mime,Whimsicott,24.019%
2640,Mr. Mime,Primarina,22.141%
2641,Mr. Mime,Darmanitan-Galar,22.141%
2642,Magnezone,Rillaboom,53.254%
2643,Magnezone,Incineroar,48.245%
2644,Magnezone,Togekiss,43.977%
2645,Magnezone,Dragapult,27.983%
2646,Magnezone,Urshifu-Rapid-Strike,27.262%
2647,Magnezone,Urshifu,26.690%
2648,Magnezone,Amoonguss,24.602%
